"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Suiza";"Zúrich";"Excursión a Interlaken, Grindelwald y Lauterbrunnen";"https://www.civitatis.com/es/zurich/excursion-grindelwald-interlaken/";"Best Of Switzerland";"reservations@switzerland-tours.ch";"0041 44710 50 50";"Best of Switzerland Tours AG | Webereistrasse 55, Adliswil , Suiza";"";"127908.74";"664";"10039";"9.0";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Excursión a Jungfraujoch";"https://www.civitatis.com/es/zurich/excursion-jungfraujoch/";"Best Of Switzerland";"reservations@switzerland-tours.ch";"0041 44710 50 50";"Best of Switzerland Tours AG | Webereistrasse 55, Adliswil , Suiza";"";"336352.62";"270";"4036";"9.4";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Free tour por Zúrich";"https://www.civitatis.com/es/zurich/free-tour-zurich/";"Zurich Tours";"federicodelacroix@gmail.com";"+41767003616";"DELACROIX FEDERICO GABRIEL | Austrasse 39, Zúrich, Suiza";"";"0.0";"1126";"92735";"9.3";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Excursión al monte Titlis y Lucerna";"https://www.civitatis.com/es/zurich/excursion-monte-titlis/";"Best Of Switzerland";"reservations@switzerland-tours.ch";"0041 44710 50 50";"Best of Switzerland Tours AG | Webereistrasse 55, Adliswil , Suiza";"";"187599.49";"607";"8622";"9.3";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Traslados en Zúrich";"https://www.civitatis.com/es/zurich/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"93941.02";"289";"6424";"9.1";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Excursión a las cataratas del Rin";"https://www.civitatis.com/es/zurich/excursion-cataratas-rin/";"Best Of Switzerland";"reservations@switzerland-tours.ch";"0041 44710 50 50";"Best of Switzerland Tours AG | Webereistrasse 55, Adliswil , Suiza";"";"56848.33";"382";"4589";"9.0";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Excursión a Rapperswil y Einsiedeln + Museo Lindt y fábrica de queso";"https://www.civitatis.com/es/zurich/rapperswil-einsiedeln-museo-lindt-fabrica-queso/";"Best Of Switzerland";"reservations@switzerland-tours.ch";"0041 44710 50 50";"Best of Switzerland Tours AG | Webereistrasse 55, Adliswil , Suiza";"";"130277.42";"12";"172";"10.0";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Excursión a Lucerna";"https://www.civitatis.com/es/zurich/excursion-lucerna/";"Best Of Switzerland";"reservations@switzerland-tours.ch";"0041 44710 50 50";"Best of Switzerland Tours AG | Webereistrasse 55, Adliswil , Suiza";"";"73429.09";"119";"1691";"7.7";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Excursión a las cataratas del Rin y Stein am Rhein";"https://www.civitatis.com/es/zurich/excursion-cataratas-rin-stein-rhein/";"Best Of Switzerland";"reservations@switzerland-tours.ch";"0041 44710 50 50";"Best of Switzerland Tours AG | Webereistrasse 55, Adliswil , Suiza";"";"94747.21";"83";"1019";"8.9";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Tour por Zúrich + Paseo en barco + Entrada al Museo Lindt";"https://www.civitatis.com/es/zurich/tour-zurich-barco-museo-lindt/";"Best Of Switzerland";"reservations@switzerland-tours.ch";"0041 44710 50 50";"Best of Switzerland Tours AG | Webereistrasse 55, Adliswil , Suiza";"";"104221.94";"151";"2475";"8.5";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Tour por Zúrich + Ferry + Teleférico de Felsenegg";"https://www.civitatis.com/es/zurich/tour-zurich-completo/";"Best Of Switzerland";"reservations@switzerland-tours.ch";"0041 44710 50 50";"Best of Switzerland Tours AG | Webereistrasse 55, Adliswil , Suiza";"";"75797.77";"761";"8662";"8.3";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Swiss Travel Pass";"https://www.civitatis.com/es/zurich/swiss-travel-pass/";"Swiss Federal Railways Sbb";"X";"+41 79 502 66 69";"Swiss Federal Railways SBB | Trüsselstrasse 2, Berna, Suiza";"";"300822.42";"122";"2441";"9.5";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Excursión a Lucerna y Engelberg";"https://www.civitatis.com/es/zurich/excursion-lucerna-engelberg/";"Best Of Switzerland";"reservations@switzerland-tours.ch";"0041 44710 50 50";"Best of Switzerland Tours AG | Webereistrasse 55, Adliswil , Suiza";"";"90009.85";"157";"2421";"7.7";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Excursión a Lucerna y el monte Rigi";"https://www.civitatis.com/es/zurich/excursion-lucerna-monte-rigi/";"Best Of Switzerland";"reservations@switzerland-tours.ch";"0041 44710 50 50";"Best of Switzerland Tours AG | Webereistrasse 55, Adliswil , Suiza";"";"177651.03";"41";"666";"9.2";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Excursión a Grindelwald y el Monte First";"https://www.civitatis.com/es/zurich/excursion-grindelwald-monte-first/";"Best Of Switzerland";"reservations@switzerland-tours.ch";"0041 44710 50 50";"Best of Switzerland Tours AG | Webereistrasse 55, Adliswil , Suiza";"";"210812.56";"13";"144";"9.4";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Tour panorámico por Zúrich";"https://www.civitatis.com/es/zurich/tour-panoramico-zurich/";"Best Of Switzerland";"reservations@switzerland-tours.ch";"0041 44710 50 50";"Best of Switzerland Tours AG | Webereistrasse 55, Adliswil , Suiza";"";"40267.56";"66";"1119";"7.5";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Excursión a Interlaken";"https://www.civitatis.com/es/zurich/excursion-interlaken/";"Best Of Switzerland";"reservations@switzerland-tours.ch";"0041 44710 50 50";"Best of Switzerland Tours AG | Webereistrasse 55, Adliswil , Suiza";"";"94747.21";"3";"319";"10.0";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Entrada al Museo Nacional de Zúrich";"https://www.civitatis.com/es/zurich/entrada-museo-nacional-zurich/";"Swiss Activities Ag";"support@swissactivities.com";"+41792060273";"Swiss Activities AG | Seestrasse 21, Erlenbach, Suiza";"";"15396.42";"0";"40";"0.0";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Tour privado por Zúrich";"https://www.civitatis.com/es/zurich/tour-privado-zurich/";"Aratours";"info@switzerland-tour.com";"+41 26 322 7777";"Aratours SA | Rue de la Banque 3, Friburgo, Suiza";"";"383322.59";"22";"828";"9.1";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Excursión a Lucerna y Bürgenstock";"https://www.civitatis.com/es/zurich/excursion-lucerna-burgenstock/";"Best Of Switzerland";"reservations@switzerland-tours.ch";"0041 44710 50 50";"Best of Switzerland Tours AG | Webereistrasse 55, Adliswil , Suiza";"";"137383.46";"33";"423";"7.4";"CLP";"2026-02-16"
"Suiza";"Zúrich";"Tour por Zúrich al atardecer + Cena de fondue";"https://www.civitatis.com/es/zurich/tour-zurich-atardecer-fondue/";"Best Of Switzerland";"reservations@switzerland-tours.ch";"0041 44710 50 50";"Best of Switzerland Tours AG | Webereistrasse 55, Adliswil , Suiza";"";"177651.03";"1";"27";"10.0";"CLP";"2026-02-16"
