"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Jordania";"Amán";"Jordania en 8 días + Noche en el desierto y Mar Muerto";"https://www.civitatis.com/es/aman/jordania-noche-desierto-mar-muerto/";"Alliance Dmc";"ammar@alliancedmc.com";"+962799861977";"Alliance Travel and Tourism | Jriesat Center 3 –Dabouq - Amman, Amán, Jordania";"";"734991.39";"56";"766";"8.3";"CLP";"2026-02-16"
"Jordania";"Amán";"Excursión a As-Salt";"https://www.civitatis.com/es/aman/excursion-as-salt/";"Suad Lababneh And Partner Company Flow For Tourism And Travel";"gm@flowtraveljo.com";"962797694432";"Suad Lababneh and partner company flow for tourism and travel | 40112950, Amán, Jordania";"";"95552.7";"0";"34";"0.0";"CLP";"2026-02-16"
"Jordania";"Amán";"Excursión a Petra";"https://www.civitatis.com/es/aman/excursion-petra/";"Alliance Dmc";"ammar@alliancedmc.com";"+962799861977";"Alliance Travel and Tourism | Jriesat Center 3 –Dabouq - Amman, Amán, Jordania";"";"114663.24";"62";"1004";"7.8";"CLP";"2026-02-16"
"Jordania";"Amán";"Excursión a Betania y el Mar Muerto";"https://www.civitatis.com/es/aman/excursion-betania-mar-muerto/";"Alliance Dmc";"ammar@alliancedmc.com";"+962799861977";"Alliance Travel and Tourism | Jriesat Center 3 –Dabouq - Amman, Amán, Jordania";"";"104015.94";"18";"410";"7.7";"CLP";"2026-02-16"
"Jordania";"Amán";"Excursión privada desde Amán";"https://www.civitatis.com/es/aman/excursion-privada-aman/";"Alasaleh For Travel And Tourism";"reservation@advisertours.com";"0034 665086863";"ALASALEH FOR TRAVEL AND TOURISM | WASFI AL TAL STREET, 210 AREEJ COMPLEX OF 307 -AMMAN, Amán, Jordania";"";"400411.32";"79";"688";"8.5";"CLP";"2026-02-16"
"Jordania";"Amán";"Excursión a Madaba y el monte Nebo";"https://www.civitatis.com/es/aman/excursion-madaba-monte-nebo/";"Alliance Dmc";"ammar@alliancedmc.com";"+962799861977";"Alliance Travel and Tourism | Jriesat Center 3 –Dabouq - Amman, Amán, Jordania";"";"106473.01";"4";"39";"9.5";"CLP";"2026-02-16"
"Jordania";"Amán";"Traslados en Amán";"https://www.civitatis.com/es/aman/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"36401.02";"15";"384";"8.3";"CLP";"2026-02-16"
"Jordania";"Amán";"Excursión de 3 días a Petra y Wadi Rum";"https://www.civitatis.com/es/aman/tour-3-dias-petra-wadi-rum/";"Alasaleh For Travel And Tourism";"reservation@advisertours.com";"0034 665086863";"ALASALEH FOR TRAVEL AND TOURISM | WASFI AL TAL STREET, 210 AREEJ COMPLEX OF 307 -AMMAN, Amán, Jordania";"";"533884.8";"10";"150";"7.6";"CLP";"2026-02-16"
"Jordania";"Amán";"Excursión a las aguas termales de Ma’in";"https://www.civitatis.com/es/aman/excursion-aguas-termales-main/";"Suad Lababneh And Partner Company Flow For Tourism And Travel";"gm@flowtraveljo.com";"962797694432";"Suad Lababneh and partner company flow for tourism and travel | 40112950, Amán, Jordania";"";"86452.44";"5";"71";"7.2";"CLP";"2026-02-16"
"Jordania";"Amán";"Jordania al completo en 8 días";"https://www.civitatis.com/es/aman/circuito-8-dias-jordania/";"Jordan Experience";"sales2@JordanExperience.com";"+962 79 540 6475";"JORDAN EXPERIENCE TOURS | Princess Zainb St., #86, Um Al Summaq, Jordania";"";"764421.62";"86";"813";"7.6";"CLP";"2026-02-16"
