destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Bridgetown,Barbados,Visita guiada por Bridgetown,"23.615,90 CL$",CLP,1 opinión,56 viajeros,Chattel House Audio Tours Inc,chatbarbados@gmail.com,12462327531,"Chattel House Audio Tours Inc | September Square, St. Matthais, Christ Church, Barbados",https://www.civitatis.com/es/bridgetown/visita-guiada-bridgetown/,2026-02-02
Bridgetown,Barbados,Paseo en submarino por Bridgetown,"110.569,96 CL$",CLP,Sin valorar,22 viajeros,Atlantis Submarines Barbados Inc,bdsmarketing@atlantissubmarines.com,2462628968,"Atlantis Submarines Barbados Inc | Atlantis Submarines, The Shallowdraught, Bridgetown, Barbados",https://www.civitatis.com/es/bridgetown/paseo-submarino-bridgetown/,2026-02-02
Bridgetown,Barbados,Visita guiada por la Guarnición Militar,"28.333,55 CL$",CLP,Sin valorar,3 viajeros,Chattel House Audio Tours Inc,chatbarbados@gmail.com,12462327531,"Chattel House Audio Tours Inc | September Square, St. Matthais, Christ Church, Barbados",https://www.civitatis.com/es/bridgetown/visita-guiada-guarnicion-militar/,2026-02-02
Bridgetown,Barbados,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Bridgetown,Barbados,Visita guiada por Speightstown,"23.615,90 CL$",CLP,Sin valorar,,Chattel House Audio Tours Inc,chatbarbados@gmail.com,12462327531,"Chattel House Audio Tours Inc | September Square, St. Matthais, Christ Church, Barbados",https://www.civitatis.com/es/speightstown/visita-guiada-speightstown/,2026-02-02
Speightstown,Barbados,Visita guiada por Speightstown,"23.615,90 CL$",CLP,Sin valorar,,Chattel House Audio Tours Inc,chatbarbados@gmail.com,12462327531,"Chattel House Audio Tours Inc | September Square, St. Matthais, Christ Church, Barbados",https://www.civitatis.com/es/speightstown/visita-guiada-speightstown/,2026-02-02
Speightstown,Barbados,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Speightstown,Barbados,Visita guiada por Bridgetown,"23.615,90 CL$",CLP,1 opinión,56 viajeros,Chattel House Audio Tours Inc,chatbarbados@gmail.com,12462327531,"Chattel House Audio Tours Inc | September Square, St. Matthais, Christ Church, Barbados",https://www.civitatis.com/es/bridgetown/visita-guiada-bridgetown/,2026-02-02
Speightstown,Barbados,Paseo en submarino por Bridgetown,"110.569,96 CL$",CLP,Sin valorar,22 viajeros,Atlantis Submarines Barbados Inc,bdsmarketing@atlantissubmarines.com,2462628968,"Atlantis Submarines Barbados Inc | Atlantis Submarines, The Shallowdraught, Bridgetown, Barbados",https://www.civitatis.com/es/bridgetown/paseo-submarino-bridgetown/,2026-02-02
Speightstown,Barbados,Visita guiada por la Guarnición Militar,"28.333,55 CL$",CLP,Sin valorar,3 viajeros,Chattel House Audio Tours Inc,chatbarbados@gmail.com,12462327531,"Chattel House Audio Tours Inc | September Square, St. Matthais, Christ Church, Barbados",https://www.civitatis.com/es/bridgetown/visita-guiada-guarnicion-militar/,2026-02-02
