"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Australia";"Sídney";"Montañas Azules y Scenic World + Sydney Zoo";"https://www.civitatis.com/es/sidney/excursion-montanas-azules-scenic-world/";"Wine Hop And Coastal Tours Pty Ltd";"matt@winehoptours.com.au";"0417076885";"Wine Hop And Coastal Tours PTY LTD | Dinckinson Grove, Mount Martha, Mount Martha, Australia";"";"141613.59";"97";"925";"8.3";"CLP";"2026-02-24"
"Australia";"Sídney";"Free tour por Sídney";"https://www.civitatis.com/es/sidney/free-tour-sidney/";"Exploreando";"alexxguillemet@gmail.com";"0402471845";"ALEJANDRO GUILLEMET RODRIGUEZ | U 26 7 Greenknowe Avenue, Sídney, Australia";"";"0.0";"511";"9851";"9.6";"CLP";"2026-02-24"
"Australia";"Sídney";"Free tour por Sídney";"https://www.civitatis.com/es/sidney/free-tour-sidney/";"Bestfreetourssydney";"bestfreetourssydney@gmail.com";"0431878792";"VALIENTE DIES, FERNANDO | 4/31 Gladstone St, Kogarah, 2217, Sydney, NSW, Sídney, Australia";"";"0.0";"511";"9851";"9.6";"CLP";"2026-02-24"
"Australia";"Sídney";"Avistamiento de canguros y wombats en las Southern Highlands + Fitzroy Falls";"https://www.civitatis.com/es/sidney/avistamiento-canguros-wombats-fitzroy-falls/";"Perfect Day Sydney";"davefraser000@gmail.com";"0450703654";"Dampier Group pty ltd | 15/11 Harriette St, Neutral Bay, Australia";"";"161012.71";"35";"185";"9.7";"CLP";"2026-02-24"
"Australia";"Sídney";"Paseo en barco por la bahía de Sídney";"https://www.civitatis.com/es/sidney/paseo-barco-sidney/";"Sydney Princess Cruises";"info@sydneyprincesscruises.com.au";"0295187813";"Sydney Princess Cruises Pty Ltd | 37 Bank St Pyrmont, Sídney, Australia";"";"35565.05";"43";"528";"8.6";"CLP";"2026-02-24"
"Australia";"Sídney";"Traslados en Sídney";"https://www.civitatis.com/es/sidney/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"69508.2";"66";"1468";"7.6";"CLP";"2026-02-24"
"Australia";"Sídney";"Visita guiada por la Ópera de Sídney";"https://www.civitatis.com/es/sidney/visita-guiada-opera-sidney/";"Be My Guest";"natalie.ng@bemyguest.com.sg";"+65 3158 0490";"Bemyguest Pte Ltd | 80 Changi Road, #03-01, The Centropod , Singapur, Singapur";"";"32249.0";"16";"268";"7.5";"CLP";"2026-02-24"
"Australia";"Sídney";"Autobús turístico de Sídney";"https://www.civitatis.com/es/sidney/autobus-turistico-sidney/";"Big Bus Tours - Aud";"DanieleZ@bigbustours.com";"+61 2 9567 8400";"Big Bus Tours Ltd | 5th Floor, 110 Buckingham Palace Road, Londres, Reino Unido";"";"36211.69";"49";"846";"8.7";"CLP";"2026-02-24"
"Australia";"Sídney";"Entrada a la Torre de Sídney";"https://www.civitatis.com/es/sidney/entrada-torre-sidney/";"Ingresso Group Limited-Australia";"finance@ingresso.co.uk";"";"Ingresso Group Limited | 1 Butterwick, Hammersmith, Londres, Reino Unido";"";"25218.85";"19";"348";"8.4";"CLP";"2026-02-24"
"Australia";"Sídney";"Tour privado por Sídney";"https://www.civitatis.com/es/sidney/tour-privado-sidney/";"Real Sydney Tours";"bookings@realsydneytours.com.au";"61 402049426";"Real Sydney Tours group PTY LTD | P O BOX 2203 Roe Bay North NSW 2030, Sídney, Australia";"";"772085.06";"11";"484";"8.9";"CLP";"2026-02-24"
