"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Jamaica";"Bahía Montego";"Excursión nocturna a la Laguna Luminosa";"https://www.civitatis.com/es/bahia-montego/excursion-laguna-luminosa/";"Arista Travel";"myaristatravel@gmail.com";"+1 876 317-0034";"FEONIA CRESSENE MCFARLANE | Apt 6 Foster Ave, Montego Bay, St James, Jamaica";"";"54601.54";"2";"317";"8.0";"CLP";"2026-02-16"
"Jamaica";"Bahía Montego";"Excursión a Negril + Paseo en catamarán";"https://www.civitatis.com/es/bahia-montego/excursion-negril-catamaran/";"Holiday Services";"reservations@holidayservicesltd.com";"1-876-441-1067";"Holiday Services Ltd | 1222 Providence Drive, Little River PO, Bahía Montego, Jamaica";"";"125583.55";"15";"583";"8.3";"CLP";"2026-02-16"
"Jamaica";"Bahía Montego";"Tour de Bob Marley + Cascadas del río Dunn";"https://www.civitatis.com/es/bahia-montego/tour-bob-marley-cascadas-dunn/";"Arista Travel";"myaristatravel@gmail.com";"+1 876 317-0034";"FEONIA CRESSENE MCFARLANE | Apt 6 Foster Ave, Montego Bay, St James, Jamaica";"";"91002.57";"9";"200";"8.4";"CLP";"2026-02-16"
"Jamaica";"Bahía Montego";"Tour de Bob Marley + Cascadas del río Dunn y Laguna Luminosa";"https://www.civitatis.com/es/bahia-montego/bob-marley-cascadas-dunn-laguna-luminosa/";"Holiday Services";"reservations@holidayservicesltd.com";"1-876-441-1067";"Holiday Services Ltd | 1222 Providence Drive, Little River PO, Bahía Montego, Jamaica";"";"206393.83";"14";"196";"9.0";"CLP";"2026-02-16"
"Jamaica";"Bahía Montego";"Visita guiada por Bahía Montego";"https://www.civitatis.com/es/bahia-montego/visita-guiada-bahia-montego/";"Jamaica Ideal Tours";"jamaicaidealtours@gmail.com";"+1874581376";"Pierre Elinord Alcindor | Alice Eldemire Drive Park P.O. Box 1990 Montego Bay 1 St. James, Jamaica, W.I., Bahía Montego, Jamaica";"";"68251.93";"16";"149";"8.6";"CLP";"2026-02-16"
"Jamaica";"Bahía Montego";"Excursión a Negril";"https://www.civitatis.com/es/bahia-montego/excursion-negril/";"Arista Travel";"myaristatravel@gmail.com";"+1 876 317-0034";"FEONIA CRESSENE MCFARLANE | Apt 6 Foster Ave, Montego Bay, St James, Jamaica";"";"91002.57";"5";"179";"9.6";"CLP";"2026-02-16"
"Jamaica";"Bahía Montego";"Traslados en Bahía Montego";"https://www.civitatis.com/es/bahia-montego/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"8190.23";"104";"5495";"7.5";"CLP";"2026-02-16"
"Jamaica";"Bahía Montego";"Tour de Bob Marley";"https://www.civitatis.com/es/bahia-montego/tour-bob-marley/";"Arista Travel";"myaristatravel@gmail.com";"+1 876 317-0034";"FEONIA CRESSENE MCFARLANE | Apt 6 Foster Ave, Montego Bay, St James, Jamaica";"";"109203.08";"2";"105";"10.0";"CLP";"2026-02-16"
"Jamaica";"Bahía Montego";"Excursión a las cascadas del río Dunn";"https://www.civitatis.com/es/bahia-montego/excursion-cascadas-rio-dunn/";"Holiday Services";"reservations@holidayservicesltd.com";"1-876-441-1067";"Holiday Services Ltd | 1222 Providence Drive, Little River PO, Bahía Montego, Jamaica";"";"64429.82";"7";"120";"6.6";"CLP";"2026-02-16"
"Jamaica";"Bahía Montego";"Visita a una granja de cannabis";"https://www.civitatis.com/es/bahia-montego/visita-granja-cannabis/";"Express Travel";"expressjamvacations@yahoo.com";"+18765985982";"GEORGE CAMPBELL LLOYD | 313 Pitfour Granville P.O, Bahía Montego, Jamaica";"";"63701.8";"0";"12";"0.0";"CLP";"2026-02-16"
