"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Luxemburgo";"Luxemburgo";"Free tour por Luxemburgo";"https://www.civitatis.com/es/luxemburgo/free-tour-luxemburgo/";"Viva's Tours Luxemburgo";"vivabrusselstours@gmail.com";"+32 492 47 08 83";"Vivas Group International LLC | 3 Germay Dr Ste 4 # 1782, Delaware, Estados Unidos";"";"0.0";"4053";"48702";"9.4";"CLP";"2026-02-16"
"Luxemburgo";"Luxemburgo";"Excursión a Trier";"https://www.civitatis.com/es/luxemburgo/excursion-trier/";"Viva's Tours Luxemburgo";"vivabrusselstours@gmail.com";"+32 492 47 08 83";"Vivas Group International LLC | 3 Germay Dr Ste 4 # 1782, Delaware, Estados Unidos";"";"63707.13";"42";"1056";"7.5";"CLP";"2026-02-16"
"Luxemburgo";"Luxemburgo";"Tren turístico de Luxemburgo";"https://www.civitatis.com/es/luxemburgo/tren-turistico-luxemburgo/";"Sightseeing.lu";"katia@sightseeing.lu";"+352266512311";"KEYWI S.A. | 4, Rue Langwiss, Bascharage, Luxemburgo";"";"15656.83";"0";"5";"0.0";"CLP";"2026-02-16"
"Luxemburgo";"Luxemburgo";"Tour privado por Luxemburgo";"https://www.civitatis.com/es/luxemburgo/tour-privado-luxemburgo/";"Viva's Tours Luxemburgo";"vivabrusselstours@gmail.com";"+32 492 47 08 83";"Vivas Group International LLC | 3 Germay Dr Ste 4 # 1782, Delaware, Estados Unidos";"";"214876.6";"19";"525";"8.8";"CLP";"2026-02-16"
"Luxemburgo";"Luxemburgo";"Traslados en Luxemburgo";"https://www.civitatis.com/es/luxemburgo/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"73425.17";"67";"899";"8.8";"CLP";"2026-02-16"
"Luxemburgo";"Luxemburgo";"Tour gastronómico por Luxemburgo";"https://www.civitatis.com/es/luxemburgo/tour-gastronomico-luxemburgo/";"Sightseeing.lu";"katia@sightseeing.lu";"+352266512311";"KEYWI S.A. | 4, Rue Langwiss, Bascharage, Luxemburgo";"";"90701.68";"1";"12";"10.0";"CLP";"2026-02-16"
"Luxemburgo";"Luxemburgo";"Excursión a Beaufort, Vianden, Echternach y la cascada de Schiessentümpel";"https://www.civitatis.com/es/luxemburgo/beaufort-vianden-ehternach-cascada-schiessentumpel/";"Sightseeing.lu";"katia@sightseeing.lu";"+352266512311";"KEYWI S.A. | 4, Rue Langwiss, Bascharage, Luxemburgo";"";"118776.01";"45";"312";"7.9";"CLP";"2026-02-16"
"Luxemburgo";"Luxemburgo";"Tour panorámico por Luxemburgo";"https://www.civitatis.com/es/luxemburgo/tour-panoramico-luxemburgo/";"Sightseeing.lu";"katia@sightseeing.lu";"+352266512311";"KEYWI S.A. | 4, Rue Langwiss, Bascharage, Luxemburgo";"";"26994.54";"2";"34";"10.0";"CLP";"2026-02-16"
"Luxemburgo";"Luxemburgo";"Tour en bicicleta eléctrica por Luxemburgo";"https://www.civitatis.com/es/luxemburgo/tour-bicicleta-electrica-luxemburgo/";"Sightseeing.lu";"katia@sightseeing.lu";"+352266512311";"KEYWI S.A. | 4, Rue Langwiss, Bascharage, Luxemburgo";"";"76664.51";"2";"16";"9.0";"CLP";"2026-02-16"
"Luxemburgo";"Luxemburgo";"Tour gastronómico por los mercadillos navideños de Luxemburgo";"https://www.civitatis.com/es/luxemburgo/tour-gastronomico-navidad-luxemburgo/";"Sightseeing.lu";"katia@sightseeing.lu";"+352266512311";"KEYWI S.A. | 4, Rue Langwiss, Bascharage, Luxemburgo";"";"97180.37";"0";"3";"0.0";"CLP";"2026-02-16"
