"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Catar";"Doha";"Desert Safari en Doha";"https://www.civitatis.com/es/doha/desert-safari-atardecer/";"Oceanair Travels";"support@oceanairtravels.com";"00971554030943";"OCEANAIR TRAVEL & TOURISM LLC | shop#2, Al Nasr palace Shop #2, Oudmetha, Oudmetha, Emiratos Árabes Unidos";"";"63428.79";"145";"1702";"9.0";"CLP";"2026-02-16"
"Catar";"Doha";"Tour privado por Doha";"https://www.civitatis.com/es/doha/tour-privado-doha/";"365 Adventures";"aferrer@365adventures.me";"+974 3339 3323";"Peninsula Compass Tourism L.L.C. | Abdul Rahman Bin Jasim street, Al Wakra , Doha, Catar";"";"344765.14";"121";"2092";"9.8";"CLP";"2026-02-16"
"Catar";"Doha";"Noche en el desierto de Khor Al Adaid";"https://www.civitatis.com/es/doha/noche-desierto-khor-al-adaid/";"Experience Qatar";"ab@experience.qa";"+97431321398";"Experience Tours and Events Services | 840 Hiteen St, Rawdat Al Khail, Doha, Catar";"";"127403.6";"0";"6";"0.0";"CLP";"2026-02-16"
"Catar";"Doha";"Tour por Doha";"https://www.civitatis.com/es/doha/tour-doha/";"Nomad Trail Tourism";"info@nomadtourismqatar.com";"+974 70337740";"Nomad Trail Tourism | Building 58, Street 119, Zone 5, Doha, Catar";"";"49965.96";"35";"427";"9.1";"CLP";"2026-02-16"
"Catar";"Doha";"Traslados en Doha";"https://www.civitatis.com/es/doha/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"24570.69";"52";"2004";"9.3";"CLP";"2026-02-16"
"Catar";"Doha";"Paseo en dhow al atardecer";"https://www.civitatis.com/es/doha/paseo-dhow-atardecer/";"National Cruise Tourism";"sales@nationalcruise.com";"+974 6600 0926";"National Cruise Tourism | Bldg. 415, zone 19, Doha Port, St. 200 Box Park, Corniche, Doha, Catar";"";"37474.47";"19";"391";"8.7";"CLP";"2026-02-16"
"Catar";"Doha";"Tour privado por el norte de Catar";"https://www.civitatis.com/es/doha/tour-privado-norte-catar/";"Nomad Trail Tourism";"info@nomadtourismqatar.com";"+974 70337740";"Nomad Trail Tourism | Building 58, Street 119, Zone 5, Doha, Catar";"";"63706.6";"4";"31";"10.0";"CLP";"2026-02-16"
"Catar";"Doha";"Autobús turístico de Doha";"https://www.civitatis.com/es/doha/autobus-turistico-doha/";"Doha Bus";"angelica@dohabus.com";"+974 5553 1684";"DOHA BUS | Zone 39, Street 251, Villa 44, Al Amir Street Doha, Qatar, Doha, Catar";"";"49965.96";"26";"582";"8.5";"CLP";"2026-02-16"
"Catar";"Doha";"Tour por Doha para cruceros";"https://www.civitatis.com/es/doha/tour-doha-cruceros/";"Shore2Shore";"info@shore2shore.es";"928 51 53 52";"CALIMA SHORE TRAVEL S.L. | CALLE PARDELERA 8, Puerto Del Carmen, España";"";"41031.71";"18";"694";"8.6";"CLP";"2026-02-16"
"Catar";"Doha";"Desert Safari privado por el desierto de Catar";"https://www.civitatis.com/es/doha/desert-safari/";"365 Adventures";"aferrer@365adventures.me";"+974 3339 3323";"Peninsula Compass Tourism L.L.C. | Abdul Rahman Bin Jasim street, Al Wakra , Doha, Catar";"";"412219.19";"32";"475";"9.2";"CLP";"2026-02-16"
