destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Luang Prabang,Laos,Crucero al atardecer por el río Mekong,"18.428,32 CL$",CLP,12 opiniones,87 viajeros,Laos Group Tours,reservations@laosgrouptours.la,008562052328678,"Pham Thanh Phong | 62/4 Sisavangvong Str, Luang Prabang,, Laos",https://www.civitatis.com/es/luang-prabang/crucero-atardecer-rio-mekong/,2026-02-02
Luang Prabang,Laos,Excursión a las cataratas Kuang Si,"53.442,15 CL$",CLP,6 opiniones,101 viajeros,Laos Group Tours,reservations@laosgrouptours.la,008562052328678,"Pham Thanh Phong | 62/4 Sisavangvong Str, Luang Prabang,, Laos",https://www.civitatis.com/es/luang-prabang/excursion-cataratas-kuang-si/,2026-02-02
Luang Prabang,Laos,Excursión a las cataratas Kuang Si por libre,"5.528,49 CL$",CLP,23 opiniones,160 viajeros,Laos Group Tours,reservations@laosgrouptours.la,008562052328678,"Pham Thanh Phong | 62/4 Sisavangvong Str, Luang Prabang,, Laos",https://www.civitatis.com/es/luang-prabang/cataratas-kuang-si-minibus/,2026-02-02
Luang Prabang,Laos,Visita guiada por Luang Prabang,"53.442,15 CL$",CLP,4 opiniones,43 viajeros,Laos Group Tours,reservations@laosgrouptours.la,008562052328678,"Pham Thanh Phong | 62/4 Sisavangvong Str, Luang Prabang,, Laos",https://www.civitatis.com/es/luang-prabang/visita-guiada-luang-prabang/,2026-02-02
Luang Prabang,Laos,Tarjeta eSIM con Internet para Laos,"28.103,20 CL$",CLP,Sin valorar,31 viajeros,Xplori,go@xplori.world,+84852186217,"WM&B Limited | 93-97 Des Voeux Road West, Hong Kong Island, China",https://www.civitatis.com/es/luang-prabang/tarjeta-esim-laos/,2026-02-02
Luang Prabang,Laos,Clase de cocina laosiana con comida,"44.227,98 CL$",CLP,Sin valorar,9 viajeros,Laos Group Tours,reservations@laosgrouptours.la,008562052328678,"Pham Thanh Phong | 62/4 Sisavangvong Str, Luang Prabang,, Laos",https://www.civitatis.com/es/luang-prabang/clase-cocina-laosiana-comida/,2026-02-02
Luang Prabang,Laos,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Vientián,Laos,Visita guiada por Vientián,"58.049,23 CL$",CLP,6 opiniones,47 viajeros,Laos Group Tours,reservations@laosgrouptours.la,008562052328678,"Pham Thanh Phong | 62/4 Sisavangvong Str, Luang Prabang,, Laos",https://www.civitatis.com/es/vientian/visita-guiada-vientian/,2026-02-02
Vientián,Laos,Tarjeta eSIM con Internet para Laos,"28.103,20 CL$",CLP,Sin valorar,31 viajeros,Xplori,go@xplori.world,+84852186217,"WM&B Limited | 93-97 Des Voeux Road West, Hong Kong Island, China",https://www.civitatis.com/es/vientian/tarjeta-esim-laos/,2026-02-02
Vientián,Laos,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Pakbeng ,Laos,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Vang Vieng,Laos,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
