"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Seychelles";"Praslin";"Excursión a las islas Curieuse, Cousin y Saint Pierre";"https://www.civitatis.com/es/praslin/excursion-isla-curieuse/";"Vision Voyages";"contact@visionvoyages.sc";"+248 432 3767";"Vision Voyages DMC Pty Ltd | Francis Rachel Street, Mahé, Seychelles";"";"148470.01";"18";"250";"7.7";"CLP";"2026-02-16"
"Seychelles";"Praslin";"Excursión a Anse Lazio y Valle de Mai";"https://www.civitatis.com/es/praslin/excursion-anse-lazio-valle-mai/";"Vision Voyages";"contact@visionvoyages.sc";"+248 432 3767";"Vision Voyages DMC Pty Ltd | Francis Rachel Street, Mahé, Seychelles";"";"74235.0";"30";"293";"9.5";"CLP";"2026-02-16"
"Seychelles";"Praslin";"Excursión a la isla La Digue";"https://www.civitatis.com/es/praslin/excursion-la-digue/";"Vision Voyages";"contact@visionvoyages.sc";"+248 432 3767";"Vision Voyages DMC Pty Ltd | Francis Rachel Street, Mahé, Seychelles";"";"107978.19";"16";"304";"7.9";"CLP";"2026-02-16"
"Seychelles";"Praslin";"Paseo en barco al atardecer";"https://www.civitatis.com/es/praslin/paseo-barco-atardecer/";"Vision Voyages";"contact@visionvoyages.sc";"+248 432 3767";"Vision Voyages DMC Pty Ltd | Francis Rachel Street, Mahé, Seychelles";"";"101229.55";"6";"57";"6.3";"CLP";"2026-02-16"
"Seychelles";"Mahé";"Tour por el Parque Marino de Sainte-Anne";"https://www.civitatis.com/es/mahe/tour-parque-marino-sainte-anne/";"Vision Voyages";"contact@visionvoyages.sc";"+248 432 3767";"Vision Voyages DMC Pty Ltd | Francis Rachel Street, Mahé, Seychelles";"";"161967.29";"28";"403";"9.6";"CLP";"2026-02-16"
"Seychelles";"Mahé";"Excursión a Praslin y La Digue";"https://www.civitatis.com/es/mahe/excursion-praslin-la-digue/";"Vision Voyages";"contact@visionvoyages.sc";"+248 432 3767";"Vision Voyages DMC Pty Ltd | Francis Rachel Street, Mahé, Seychelles";"";"317185.94";"10";"276";"6.8";"CLP";"2026-02-16"
"Seychelles";"Mahé";"Excursión a la isla Moyenne + Snorkel y comida en el restaurante Jolly Roger";"https://www.civitatis.com/es/mahe/isla-moyenne-snorkel-jolly-roger/";"Vision Voyages";"contact@visionvoyages.sc";"+248 432 3767";"Vision Voyages DMC Pty Ltd | Francis Rachel Street, Mahé, Seychelles";"";"148470.01";"5";"95";"9.6";"CLP";"2026-02-16"
"Seychelles";"Mahé";"Tour privado por Mahé";"https://www.civitatis.com/es/mahe/tour-privado-mahe/";"Cat Tours And Transfer";"cthomas051996@icloud.com";"+2482810308";"CAT Tours & Transfer | Grand Anse Mahe, Seychelles, Victoria, Seychelles";"";"151169.47";"6";"111";"6.3";"CLP";"2026-02-16"
"Seychelles";"La Digue";"Tour por La Digue";"https://www.civitatis.com/es/la-digue/tour-digue/";"Vision Voyages";"contact@visionvoyages.sc";"+248 432 3767";"Vision Voyages DMC Pty Ltd | Francis Rachel Street, Mahé, Seychelles";"";"101229.55";"0";"33";"0.0";"CLP";"2026-02-16"
"Seychelles";"La Digue";"Excursión a la isla La Digue";"https://www.civitatis.com/es/praslin/excursion-la-digue/";"Vision Voyages";"contact@visionvoyages.sc";"+248 432 3767";"Vision Voyages DMC Pty Ltd | Francis Rachel Street, Mahé, Seychelles";"";"107978.19";"16";"304";"7.9";"CLP";"2026-02-16"
