"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Mauricio";"Trou d'Eau Douce";"Excursión a la Isla de los Ciervos";"https://www.civitatis.com/es/trou-d-eau-douce/excursion-isla-ciervos/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"49565.56";"315";"3962";"8.8";"CLP";"2026-02-16"
"Mauricio";"Trou d'Eau Douce";"Excursión privada a Port Louis y Pamplemousses";"https://www.civitatis.com/es/trou-d-eau-douce/excursion-port-louis-pamplemousses/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"164557.68";"256";"2379";"8.8";"CLP";"2026-02-16"
"Mauricio";"Trou d'Eau Douce";"Excursión privada por el sur de Isla Mauricio";"https://www.civitatis.com/es/trou-d-eau-douce/excursion-sur-isla-mauricio/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"164557.68";"401";"3893";"9.0";"CLP";"2026-02-16"
"Mauricio";"Trou d'Eau Douce";"Excursión privada a Vallé Advenature Park";"https://www.civitatis.com/es/trou-d-eau-douce/excursion-vallee-couleurs-vanille/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"164557.68";"76";"1078";"8.9";"CLP";"2026-02-16"
"Mauricio";"Trou d'Eau Douce";"Excursión privada a Grand Baie";"https://www.civitatis.com/es/trou-d-eau-douce/excursion-grand-baie/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"139774.9";"26";"390";"8.3";"CLP";"2026-02-16"
"Mauricio";"Trou d'Eau Douce";"Tour privado del té por Isla Mauricio";"https://www.civitatis.com/es/trou-d-eau-douce/tour-te-isla-mauricio/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"164557.68";"4";"80";"6.5";"CLP";"2026-02-16"
"Mauricio";"Trou d'Eau Douce";"Traslados en Trou d'Eau Douce";"https://www.civitatis.com/es/trou-d-eau-douce/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"36401.02";"241";"3349";"9.4";"CLP";"2026-02-16"
"Mauricio";"Trou d'Eau Douce";"Paseo en barco pirata por Trou d’Eau Douce";"https://www.civitatis.com/es/trou-d-eau-douce/barco-pirata-trou-eau-douce/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"49565.56";"2";"26";"9.0";"CLP";"2026-02-16"
"Mauricio";"Río Negro";"Excursión privada a Port Louis y Pamplemousses";"https://www.civitatis.com/es/rio-negro/excursion-port-louis-pamplemousses/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"164557.68";"256";"2379";"8.8";"CLP";"2026-02-16"
"Mauricio";"Río Negro";"Nado con delfines en Río Negro";"https://www.civitatis.com/es/rio-negro/nado-delfines-rio-negro/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"53530.81";"34";"760";"8.1";"CLP";"2026-02-16"
"Mauricio";"Río Negro";"Excursión a Crystal Rock y Le Morne";"https://www.civitatis.com/es/rio-negro/excursion-crystal-rock-morne/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"73357.04";"3";"51";"8.7";"CLP";"2026-02-16"
"Mauricio";"Río Negro";"Trekking por Le Morne Brabant";"https://www.civitatis.com/es/rio-negro/trekking-morne-brabant/";"Explorers Mauritius";"explorersmauritius@gmail.com";"52584141";"ECOEXPLORERS MAURITIUS LIMITED | Explorers Mauritius, Route Cotiere, Le Morne Brabant, Le Morne Brabant, Mauricio";"";"69391.79";"28";"299";"9.9";"CLP";"2026-02-16"
"Mauricio";"Río Negro";"Excursión privada por el sur de Isla Mauricio";"https://www.civitatis.com/es/rio-negro/excursion-sur-isla-mauricio/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"164557.68";"401";"3893";"9.0";"CLP";"2026-02-16"
"Mauricio";"Río Negro";"Excursión privada a Vallé Advenature Park";"https://www.civitatis.com/es/rio-negro/excursion-vallee-couleurs-vanille/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"164557.68";"76";"1078";"8.9";"CLP";"2026-02-16"
"Mauricio";"Río Negro";"Traslados en Río Negro";"https://www.civitatis.com/es/rio-negro/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"36401.02";"241";"3349";"9.4";"CLP";"2026-02-16"
"Mauricio";"Río Negro";"Excursión privada a Grand Baie";"https://www.civitatis.com/es/rio-negro/excursion-grand-baie/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"139774.9";"26";"390";"8.3";"CLP";"2026-02-16"
"Mauricio";"Río Negro";"Tour privado del té por Isla Mauricio";"https://www.civitatis.com/es/rio-negro/tour-te-isla-mauricio/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"164557.68";"4";"80";"6.5";"CLP";"2026-02-16"
"Mauricio";"Río Negro";"Senderismo por el Parque Nacional Gargantas del Río Negro";"https://www.civitatis.com/es/rio-negro/senderismo-gargantas-rio-negro/";"Destination Soleil // Taxi Mauritius";"info@taximauritius.com";"+23054934065";"DESTINATION AU SOLEIL LTD | H20, Rue des Vignes, Baie du Tombeau, Mauritius, Mauricio";"";"53989.09";"3";"65";"8.7";"CLP";"2026-02-16"
"Mauricio";"Mahébourg ";"Tour privado por Mahébourg + Fábrica de galletas Rault";"https://www.civitatis.com/es/mahebourg/tour-mahebourg-fabrica-galletas-rault/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"164557.68";"8";"74";"9.3";"CLP";"2026-02-16"
"Mauricio";"Mahébourg ";"Excursión privada a Port Louis y Pamplemousses";"https://www.civitatis.com/es/mahebourg/excursion-port-louis-pamplemousses/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"164557.68";"256";"2379";"8.8";"CLP";"2026-02-16"
"Mauricio";"Mahébourg ";"Excursión privada por el sur de Isla Mauricio";"https://www.civitatis.com/es/mahebourg/excursion-sur-isla-mauricio/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"164557.68";"401";"3893";"9.0";"CLP";"2026-02-16"
"Mauricio";"Mahébourg ";"Excursión privada a Vallé Advenature Park";"https://www.civitatis.com/es/mahebourg/excursion-vallee-couleurs-vanille/";"Creation 974";"creation974cie@gmail.com";"+230 5909 1297";"Creation 974 CIE LTEE | ROBINSON LANE NO2, Port Louis , Mauricio";"";"164557.68";"76";"1078";"8.9";"CLP";"2026-02-16"
