"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Tanzania";"Moshi";"Ruta Machame de 9 días por el Kilimanjaro";"https://www.civitatis.com/es/moshi/ruta-machame-9-dias-kilimanjaro/";"Tanzania Wildlife Adventures";"res@tanzaniawildlifeadventures.com";"+255624136235";"TANZANIA WILDLIFE ADVENTURES | J8RR+M5Q, Swahili St, 00255, MOSHI, KILIMANJARO, Tanzania";"";"2013431.96";"0";"1";"0.0";"CLP";"2026-02-16"
"Tanzania";"Arusha";"Safari de 6 días por el norte de Tanzania";"https://www.civitatis.com/es/arusha/safari-6-dias-tanzania/";"Nature Bound Africa";"natureboundafrica@gmail.com";"+255 784 737 413";"Nature Bound Africa Ltd | Themi Hill, Arusha, Tanzania";"";"2505300.88";"5";"124";"10.0";"CLP";"2026-02-16"
"Tanzania";"Arusha";"Excursión al poblado masái de Olpopongi";"https://www.civitatis.com/es/arusha/excursion-poblado-masai-olpopongi/";"Ijue Africa Safaris";"info@ijueafricasafaris.com";"+255 758 087 201";"Ijue Africa Limited | P.O. Box 14777, Arusha, Tanzania, Arusha, Tanzania";"";"218406.17";"3";"108";"9.3";"CLP";"2026-02-16"
"Tanzania";"Arusha";"Visita guiada por Arusha";"https://www.civitatis.com/es/arusha/visita-guiada-arusha/";"Ijue Africa Safaris";"info@ijueafricasafaris.com";"+255 758 087 201";"Ijue Africa Limited | P.O. Box 14777, Arusha, Tanzania, Arusha, Tanzania";"";"34580.97";"1";"15";"10.0";"CLP";"2026-02-16"
"Tanzania";"Arusha";"Excursión a las cascadas de Materuni";"https://www.civitatis.com/es/arusha/excursion-cascadas-materuni/";"Ijue Africa Safaris";"info@ijueafricasafaris.com";"+255 758 087 201";"Ijue Africa Limited | P.O. Box 14777, Arusha, Tanzania, Arusha, Tanzania";"";"91002.57";"6";"19";"9.0";"CLP";"2026-02-16"
"Tanzania";"Arusha";"Excursión al Kilimanjaro";"https://www.civitatis.com/es/arusha/excursion-kilimanjaro/";"Nyange Adventures";"arusha_office@nyangeadventures.com";"+255717385304";"Nyange Adventures LTD. | 896 Moshi Tanzania, Kilimanjaro, Tanzania";"";"268457.59";"2";"157";"8.0";"CLP";"2026-02-16"
"Tanzania";"Arusha";"Safari por el Parque Nacional de Arusha";"https://www.civitatis.com/es/arusha/safari-parque-nacional-arusha/";"Nyange Adventures";"arusha_office@nyangeadventures.com";"+255717385304";"Nyange Adventures LTD. | 896 Moshi Tanzania, Kilimanjaro, Tanzania";"";"341259.65";"0";"38";"0.0";"CLP";"2026-02-16"
"Tanzania";"Arusha";"Safari de 8 días por el norte de Tanzania";"https://www.civitatis.com/es/arusha/safari-8-dias-tanzania/";"Nature Bound Africa";"natureboundafrica@gmail.com";"+255 784 737 413";"Nature Bound Africa Ltd | Themi Hill, Arusha, Tanzania";"";"3571851.05";"2";"15";"10.0";"CLP";"2026-02-16"
"Tanzania";"Arusha";"Excursión al lago Chala";"https://www.civitatis.com/es/arusha/excursion-lago-chala/";"Nyange Adventures";"arusha_office@nyangeadventures.com";"+255717385304";"Nyange Adventures LTD. | 896 Moshi Tanzania, Kilimanjaro, Tanzania";"";"175634.96";"0";"15";"0.0";"CLP";"2026-02-16"
"Tanzania";"Arusha";"Ruta Marangu de 7 días por el Kilimanjaro";"https://www.civitatis.com/es/arusha/ruta-7-dias-kilimanjaro/";"Nature Bound Africa";"natureboundafrica@gmail.com";"+255 784 737 413";"Nature Bound Africa Ltd | Themi Hill, Arusha, Tanzania";"";"2593573.37";"1";"7";"10.0";"CLP";"2026-02-16"
"Tanzania";"Arusha";"Tour en canoa por el lago Duluti";"https://www.civitatis.com/es/arusha/tour-canoa-lago-duluti/";"Beach & Safari Aviation";"marketing@beach-safari-aviation.com";"+255695857174";"Beach & Safari Aviation LTD | Mijni Magharibi-Unguja, West B Mombasa, Zanzíbar, Tanzania";"";"50051.41";"0";"3";"0.0";"CLP";"2026-02-16"
"Tanzania";"Arusha";"Safari por el Lago Manyara";"https://www.civitatis.com/es/arusha/safari-lago-manyara/";"Ijue Africa Safaris";"info@ijueafricasafaris.com";"+255 758 087 201";"Ijue Africa Limited | P.O. Box 14777, Arusha, Tanzania, Arusha, Tanzania";"";"318509.01";"1";"14";"8.0";"CLP";"2026-02-16"
"Tanzania";"Arusha";"Excursión a las aguas termales de Kikuletwa";"https://www.civitatis.com/es/arusha/excursion-aguas-termales-kikuletwa/";"Nyange Adventures";"arusha_office@nyangeadventures.com";"+255717385304";"Nyange Adventures LTD. | 896 Moshi Tanzania, Kilimanjaro, Tanzania";"";"153794.35";"2";"3";"9.0";"CLP";"2026-02-16"
"Tanzania";"Arusha";"Excursión a Marangu";"https://www.civitatis.com/es/arusha/excursion-marangu/";"Nyange Adventures";"arusha_office@nyangeadventures.com";"+255717385304";"Nyange Adventures LTD. | 896 Moshi Tanzania, Kilimanjaro, Tanzania";"";"175634.96";"0";"10";"0.0";"CLP";"2026-02-16"
"Tanzania";"Arusha";"Ruta Machame de 9 días por el Kilimanjaro";"https://www.civitatis.com/es/arusha/ruta-machame-9-dias-kilimanjaro/";"Tanzania Wildlife Adventures";"res@tanzaniawildlifeadventures.com";"+255624136235";"TANZANIA WILDLIFE ADVENTURES | J8RR+M5Q, Swahili St, 00255, MOSHI, KILIMANJARO, Tanzania";"";"2013431.96";"0";"1";"0.0";"CLP";"2026-02-16"
