"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Francia";"París";"Paseo en barco por el Sena";"https://www.civitatis.com/es/paris/paseo-barco-sena/";"Bateaux Parisiens";"reservation@bateauxparisiens.com";"+33 1 76 64 14 45";"S.E.V.P.T.E | Port de la Bourdonnais , París, Francia";"";"18321.31";"12876";"347237";"8.2";"CLP";"2026-02-24"
"Francia";"París";"Free tour por París";"https://www.civitatis.com/es/paris/visita-guiada-paris/";"Viaterra Tours (París)";"info.paris@viaterratours.com";"+33635253329";"WUT4 TOURS | 84 AV DE LA REPUBLIQUE, París, Francia";"";"0.0";"49650";"1168350";"9.4";"CLP";"2026-02-24"
"Francia";"París";"Free tour por París";"https://www.civitatis.com/es/paris/visita-guiada-paris/";"Paris Paso A Paso Tours";"Parispasoapasotours@gmail.com";"0033668358789";"París paso a paso tours S.L. | Calle Cruz Verde nº1, Málaga, España";"";"0.0";"49650";"1168350";"9.4";"CLP";"2026-02-24"
"Francia";"París";"Autobús turístico de París, Big Bus";"https://www.civitatis.com/es/paris/autobus-turistico-paris/";"Big Bus Tours Eur";"info@bigbustours.com";"+33 01 53 953 953";"Big Bus Tours Ltd | 5th Floor, 110 Buckingham Palace Road, Londres, Reino Unido";"";"38798.08";"7098";"164585";"8.4";"CLP";"2026-02-24"
"Francia";"París";"Entrada a la 3ª planta de la Torre Eiffel";"https://www.civitatis.com/es/paris/entrada-tercera-planta-torre-eiffel/";"Paris City Vision";"resa@pariscityvision.com";"+33 1 44 55 60 00";"CITYVISION SAS | 83 Boulevard de Sébastopol, París, Francia";"";"106694.74";"2303";"75156";"8.1";"CLP";"2026-02-24"
"Francia";"París";"Entrada a la 3ª planta de la Torre Eiffel";"https://www.civitatis.com/es/paris/entrada-tercera-planta-torre-eiffel/";"Somos Paris";"somosparistours@gmail.com";"+447946621336";"Somos Paris Ltd | Flat 14 14 Queen Charlotte Street Edinburgh , Edimburgo, Reino Unido";"";"106694.74";"2303";"75156";"8.1";"CLP";"2026-02-24"
"Francia";"París";"Traslados en París";"https://www.civitatis.com/es/paris/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"26943.11";"24003";"596408";"9.4";"CLP";"2026-02-24"
"Francia";"París";"Visita guiada por el Museo del Louvre";"https://www.civitatis.com/es/paris/visita-guiada-museo-louvre/";"Visit";"sales@visit-co.com";"+33 7 50 64 13 16";"VISIT SARL | 10 rue de Penthièvre, París, Francia";"";"80829.35";"5020";"130758";"8.5";"CLP";"2026-02-24"
"Francia";"París";"Visita guiada por el Museo del Louvre";"https://www.civitatis.com/es/paris/visita-guiada-museo-louvre/";"Paris City Vision";"resa@pariscityvision.com";"+33 1 44 55 60 00";"CITYVISION SAS | 83 Boulevard de Sébastopol, París, Francia";"";"80829.35";"5020";"130758";"8.5";"CLP";"2026-02-24"
"Francia";"París";"Visita guiada por el Museo del Louvre";"https://www.civitatis.com/es/paris/visita-guiada-museo-louvre/";"Viaterra Tours (París)";"info.paris@viaterratours.com";"+33635253329";"WUT4 TOURS | 84 AV DE LA REPUBLIQUE, París, Francia";"";"80829.35";"5020";"130758";"8.5";"CLP";"2026-02-24"
