"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Namibia";"Windhoek";"Safari de 8 días por lo mejor de Namibia";"https://www.civitatis.com/es/windhoek/safari-8-dias-namibia/";"Discovery Safaris & Tours";"bookings@discoverysafaris.org";"+264 8124 89010";"DISCOVERY TRANSFERS & TOURS CC | 1506 Hochland Park, Tauben street , Windhoek, Namibia";"";"1911054.06";"3";"26";"10.0";"CLP";"2026-02-16"
"Namibia";"Windhoek";"Tour por Windhoek";"https://www.civitatis.com/es/windhoek/tour-windhoek/";"Lark Journeys Namibia";"info@larkjourneys.com";"0813379595";"Lark Journeys Namibia Cc | Po Box 20198, Windhoek, Namibia";"";"34037.11";"3";"22";"9.3";"CLP";"2026-02-16"
"Namibia";"Windhoek";"Safari de 10 días por Namibia";"https://www.civitatis.com/es/windhoek/safari-10-dias-namibia/";"Lark Journeys Namibia";"info@larkjourneys.com";"0813379595";"Lark Journeys Namibia Cc | Po Box 20198, Windhoek, Namibia";"";"3744082.16";"0";"0";"0.0";"CLP";"2026-02-16"
"Namibia";"Swakopmund";"Tour en 4x4 por Sandwich Harbour";"https://www.civitatis.com/es/swakopmund/tour-4x4-sandwich-harbour/";"Mc Tours Cc";"mctoursnam1@gmail.com";"+264814791866";"MC Tours CC | 1 Marconi st, Walvis Bay, Walvis Bay, Namibia";"";"141821.29";"2";"15";"10.0";"CLP";"2026-02-16"
"Namibia";"Swakopmund";"Visita guiada por Swakopmund";"https://www.civitatis.com/es/swakopmund/visita-guiada-swakopmund/";"Explorer Township Cultural Tours Swakopmund";"NANDEJEXPLORERTOURS@GMAIL.COM";"+264810456310";"Nande Junias Explorer Tours cc | 210 Mondesa OBStreet Swakopmund Namibia , Swakopmund, Namibia";"";"78001.71";"0";"3";"0.0";"CLP";"2026-02-16"
"Namibia";"Swakopmund";"Tour por el desierto del Namib";"https://www.civitatis.com/es/swakopmund/tour-desierto-namib/";"Explorer Township Cultural Tours Swakopmund";"NANDEJEXPLORERTOURS@GMAIL.COM";"+264810456310";"Nande Junias Explorer Tours cc | 210 Mondesa OBStreet Swakopmund Namibia , Swakopmund, Namibia";"";"141821.29";"0";"2";"0.0";"CLP";"2026-02-16"
"Namibia";"Swakopmund";"Visita guiada por Mondesa";"https://www.civitatis.com/es/swakopmund/visita-guiada-mondesa/";"Explorer Township Cultural Tours Swakopmund";"NANDEJEXPLORERTOURS@GMAIL.COM";"+264810456310";"Nande Junias Explorer Tours cc | 210 Mondesa OBStreet Swakopmund Namibia , Swakopmund, Namibia";"";"90765.62";"0";"8";"0.0";"CLP";"2026-02-16"
"Namibia";"Swakopmund";"Sandboarding en el desierto del Namib";"https://www.civitatis.com/es/swakopmund/sandboarding-desierto-namib/";"Explorer Township Cultural Tours Swakopmund";"NANDEJEXPLORERTOURS@GMAIL.COM";"+264810456310";"Nande Junias Explorer Tours cc | 210 Mondesa OBStreet Swakopmund Namibia , Swakopmund, Namibia";"";"70910.64";"0";"7";"0.0";"CLP";"2026-02-16"
"Namibia";"Swakopmund";"Excursión a la reserva de leones marinos de Cape Cross";"https://www.civitatis.com/es/swakopmund/tour-leones-marinos-cape-cross/";"Explorer Township Cultural Tours Swakopmund";"NANDEJEXPLORERTOURS@GMAIL.COM";"+264810456310";"Nande Junias Explorer Tours cc | 210 Mondesa OBStreet Swakopmund Namibia , Swakopmund, Namibia";"";"127639.16";"0";"1";"0.0";"CLP";"2026-02-16"
"Namibia";"Swakopmund";"Excursión a Spitzkoppe";"https://www.civitatis.com/es/swakopmund/excursion-spitzkoppe/";"Explorer Township Cultural Tours Swakopmund";"NANDEJEXPLORERTOURS@GMAIL.COM";"+264810456310";"Nande Junias Explorer Tours cc | 210 Mondesa OBStreet Swakopmund Namibia , Swakopmund, Namibia";"";"170185.55";"0";"16";"0.0";"CLP";"2026-02-16"
"Namibia";"Sossusvlei";"Paseo en globo por el desierto del Namib al amanecer";"https://www.civitatis.com/es/sossusvlei/paseo-globo-desierto-namib-amanecer/";"Zambezi Etosha Tours";"jeromy@zambezietoshatours.com";"0813873918";"Zambezi Etosha Tours and Car hire CC | PO Box 40938, Windhoek, Namibia";"";"709820.08";"0";"14";"0.0";"CLP";"2026-02-16"
