destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Praia,Cabo Verde,Excursión a Assomada,"76.515,98 CL$",CLP,3 opiniones,20 viajeros,Levy Travel,levytravelcv@gmail.com,002389927894,"LEVY TRAVEL INC. & REP. Lda | Rua das Hortas , Praia, Cabo Verde",https://www.civitatis.com/es/praia/excursion-assomada/,2026-02-02
Praia,Cabo Verde,Tour por la isla de Santiago,"102.750,03 CL$",CLP,25 opiniones,206 viajeros,Levy Travel,levytravelcv@gmail.com,002389927894,"LEVY TRAVEL INC. & REP. Lda | Rua das Hortas , Praia, Cabo Verde",https://www.civitatis.com/es/praia/tour-isla-santiago/,2026-02-02
Praia,Cabo Verde,Tour por Praia,"38.257,99 CL$",CLP,15 opiniones,128 viajeros,Levy Travel,levytravelcv@gmail.com,002389927894,"LEVY TRAVEL INC. & REP. Lda | Rua das Hortas , Praia, Cabo Verde",https://www.civitatis.com/es/praia/tour-praia/,2026-02-02
Praia,Cabo Verde,Excursión a la isla de Maio,"132.263,34 CL$",CLP,Sin valorar,52 viajeros,Bu Country Tours,admilsongarcia@bucountry.com,+2389235728,"Bu Country Turismo SU Lda | Fazenda, Avenida Cidade de Lisboa, entrada dos Bombeiros, 2 a esquesda, segundo andar., Praia, Cabo Verde",https://www.civitatis.com/es/praia/excursion-isla-maio/,2026-02-02
Praia,Cabo Verde,Senderismo por el Valle de Calabaceira + Visita a Cidade Velha,"76.515,98 CL$",CLP,2 opiniones,11 viajeros,Bu Country Tours,admilsongarcia@bucountry.com,+2389235728,"Bu Country Turismo SU Lda | Fazenda, Avenida Cidade de Lisboa, entrada dos Bombeiros, 2 a esquesda, segundo andar., Praia, Cabo Verde",https://www.civitatis.com/es/praia/senderismo-valle-calabaceira-cidade-velha/,2026-02-02
Praia,Cabo Verde,Traslados en Praia,"22.954,79 CL$",CLP,Novedad,33 viajeros,No especificado / Único,N/A,N/A,N/A,https://www.civitatis.com/es/praia/traslados/,2026-02-02
Praia,Cabo Verde,Tour por Praia y Cidade Velha,"66.678,21 CL$",CLP,29 opiniones,177 viajeros,Bu Country Tours,admilsongarcia@bucountry.com,+2389235728,"Bu Country Turismo SU Lda | Fazenda, Avenida Cidade de Lisboa, entrada dos Bombeiros, 2 a esquesda, segundo andar., Praia, Cabo Verde",https://www.civitatis.com/es/praia/tour-praia-cidade-velha/,2026-02-02
Praia,Cabo Verde,Senderismo por el Parque Natural Serra de Malagueta,"115.867,06 CL$",CLP,9 opiniones,103 viajeros,Levy Travel,levytravelcv@gmail.com,002389927894,"LEVY TRAVEL INC. & REP. Lda | Rua das Hortas , Praia, Cabo Verde",https://www.civitatis.com/es/praia/senderismo-parque-serra-malagueta/,2026-02-02
Praia,Cabo Verde,Senderismo por el Monte Tchota y el Pico d'Antónia,"88.539,92 CL$",CLP,5 opiniones,49 viajeros,Bu Country Tours,admilsongarcia@bucountry.com,+2389235728,"Bu Country Turismo SU Lda | Fazenda, Avenida Cidade de Lisboa, entrada dos Bombeiros, 2 a esquesda, segundo andar., Praia, Cabo Verde",https://www.civitatis.com/es/praia/senderismo-monte-tchota-pico-antonia/,2026-02-02
Praia,Cabo Verde,Excursión a Ribeira da Barca y Aguas Belas,"120.239,40 CL$",CLP,9 opiniones,61 viajeros,Bu Country Tours,admilsongarcia@bucountry.com,+2389235728,"Bu Country Turismo SU Lda | Fazenda, Avenida Cidade de Lisboa, entrada dos Bombeiros, 2 a esquesda, segundo andar., Praia, Cabo Verde",https://www.civitatis.com/es/praia/excursion-ribeira-barca-aguas-belas/,2026-02-02
Praia,Cabo Verde,Excursión a Cidade Velha,"96.191,52 CL$",CLP,6 opiniones,27 viajeros,Levy Travel,levytravelcv@gmail.com,002389927894,"LEVY TRAVEL INC. & REP. Lda | Rua das Hortas , Praia, Cabo Verde",https://www.civitatis.com/es/praia/excursion-cidade-velha/,2026-02-02
