destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Teherán,Irán,Tour privado de 6 días por Irán,"1.388.218,58 CL$",CLP,Sin valorar,,Tap Persia,Rasool@tappersia.com,+989103004875,"Netssu Bionique GmbH | Am Pichelssee 32, Berlín, Alemania",https://www.civitatis.com/es/teheran/tour-6-dias-iran/,2026-02-02
Teherán,Irán,Tour privado de 9 días por Irán,"1.847.314,49 CL$",CLP,Sin valorar,,Tap Persia,Rasool@tappersia.com,+989103004875,"Netssu Bionique GmbH | Am Pichelssee 32, Berlín, Alemania",https://www.civitatis.com/es/teheran/tour-9-dias-iran/,2026-02-02
Teherán,Irán,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Teherán,Irán,Traslados en Teherán,"38.257,99 CL$",CLP,3 opiniones,18 viajeros,No especificado / Único,N/A,N/A,N/A,https://www.civitatis.com/es/teheran/traslados/,2026-02-02
Isfahán,Irán,Noche en el desierto de Varzaneh,"131.170,25 CL$",CLP,Sin valorar,,Tap Persia,Rasool@tappersia.com,+989103004875,"Netssu Bionique GmbH | Am Pichelssee 32, Berlín, Alemania",https://www.civitatis.com/es/isfahan/noche-desierto-varzaneh/,2026-02-02
Isfahán,Irán,"Excursión privada a Meybod, Kharanaq y Chak Chak finalizando en Yazd","163.962,82 CL$",CLP,Sin valorar,,Tap Persia,Rasool@tappersia.com,+989103004875,"Netssu Bionique GmbH | Am Pichelssee 32, Berlín, Alemania",https://www.civitatis.com/es/isfahan/excursion-meybod-kharanaq-chak-chak/,2026-02-02
Isfahán,Irán,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Kashan,Irán,Excursión privada a Abyaneh,"98.377,69 CL$",CLP,Sin valorar,,Tap Persia,Rasool@tappersia.com,+989103004875,"Netssu Bionique GmbH | Am Pichelssee 32, Berlín, Alemania",https://www.civitatis.com/es/kashan/excursion-privada-abyaneh/,2026-02-02
Kashan,Irán,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Yazd ,Irán,Tour privado por Yazd,"87.446,84 CL$",CLP,Sin valorar,,Tap Persia,Rasool@tappersia.com,+989103004875,"Netssu Bionique GmbH | Am Pichelssee 32, Berlín, Alemania",https://www.civitatis.com/es/yazd/tour-privado-yazd/,2026-02-02
Yazd ,Irán,"Excursión privada a Persépolis, Pasargada y Naqsh-e Rostam finalizando en Shiraz","163.962,82 CL$",CLP,Sin valorar,,Tap Persia,Rasool@tappersia.com,+989103004875,"Netssu Bionique GmbH | Am Pichelssee 32, Berlín, Alemania",https://www.civitatis.com/es/yazd/excursion-persepolis-pasargada-naqsh-rostam/,2026-02-02
Yazd ,Irán,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Tabriz,Irán,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
