"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Marruecos";"Marrakech";"Noche en el desierto de Agafay";"https://www.civitatis.com/es/marrakech/noche-desierto-agafay/";"Marrakech Select Travel";"marrakechselecttravel@gmail.com";"+212760982283";"Marrakech Desert Camp | AV.PRINCE MY ABEDALLAH N68 IMM D3 COMPLEXE YOUSSEF BEN TACHAFINEB, Marrakech, Marruecos";"";"77744.3";"6766";"139434";"9.2";"CLP";"2026-02-16"
"Marruecos";"Marrakech";"Excursión de 3 días al desierto de Merzouga";"https://www.civitatis.com/es/marrakech/excursion-tres-dias-desierto-merzouga/";"Maroc Expedition";"marocexpedition@gmail.com";"+212 666161604";"Maroc Expedition Travel S.A.R.L | apar 13 rue ibn khaldoun Medina, Marrakech, Marruecos";"";"106650.06";"7476";"64058";"9.2";"CLP";"2026-02-16"
"Marruecos";"Marrakech";"Excursión al desierto de Agafay";"https://www.civitatis.com/es/marrakech/excursion-desierto-agafay/";"Marrakech Select Travel";"marrakechselecttravel@gmail.com";"+212760982283";"Marrakech Desert Camp | AV.PRINCE MY ABEDALLAH N68 IMM D3 COMPLEXE YOUSSEF BEN TACHAFINEB, Marrakech, Marruecos";"";"21595.63";"673";"7203";"9.3";"CLP";"2026-02-16"
"Marruecos";"Marrakech";"Excursión a las Cascadas de Ouzoud";"https://www.civitatis.com/es/marrakech/excursion-cascadas-ouzoud/";"Maroc Expedition";"marocexpedition@gmail.com";"+212 666161604";"Maroc Expedition Travel S.A.R.L | apar 13 rue ibn khaldoun Medina, Marrakech, Marruecos";"";"17276.51";"6663";"124707";"9.2";"CLP";"2026-02-16"
"Marruecos";"Marrakech";"Traslados en Marrakech";"https://www.civitatis.com/es/marrakech/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"11823.61";"21539";"277943";"8.8";"CLP";"2026-02-16"
"Marruecos";"Marrakech";"Free tour por Marrakech";"https://www.civitatis.com/es/marrakech/free-tour-marrakech/";"Tour Gratis Marrakech";"visitamarrakech@gmail.com";"+212 667-239039";"Mohamed CHHIH | El Hasani;no 981;bloc 45, Marrakech, Marruecos";"";"0.0";"46865";"1041055";"9.1";"CLP";"2026-02-16"
"Marruecos";"Marrakech";"Free tour por Marrakech";"https://www.civitatis.com/es/marrakech/free-tour-marrakech/";"Abdelali Shouli";"abdelalishouli1980@gmail.com";"0610144491";"Abdelali Shouli | Askejour Mhamid sud rés anas 01 IMM H Apt 06, Marrakech, Marruecos";"";"0.0";"46865";"1041055";"9.1";"CLP";"2026-02-16"
"Marruecos";"Marrakech";"Excursión a Essaouira";"https://www.civitatis.com/es/marrakech/excursion-essaouira/";"Maroc Expedition";"marocexpedition@gmail.com";"+212 666161604";"Maroc Expedition Travel S.A.R.L | apar 13 rue ibn khaldoun Medina, Marrakech, Marruecos";"";"25914.76";"4304";"72175";"9.0";"CLP";"2026-02-16"
"Marruecos";"Marrakech";"Excursión a Essaouira";"https://www.civitatis.com/es/marrakech/excursion-essaouira/";"Marrakech Best Trips";"marrakechbesttrips@gmail.com";"+212762889903";"Marrakech Best Trips | App 09 imm 12 operation bourj azzaitoun m'hamid Marrakech maroc, Marrakech, Marruecos";"";"25914.76";"4304";"72175";"9.0";"CLP";"2026-02-16"
"Marruecos";"Marrakech";"Tour por los Tres Valles y las montañas del Atlas con comida";"https://www.civitatis.com/es/marrakech/tour-tres-valles/";"Marrakech Outdoor Trips";"marrakech.outdoor.trips@gmail.com";"+212617250840";"Marrakech Outdoor Trips | № 1, 1nd FLOOR OF THE BUILDING № 1106  MASSAR MARRAKECH, Marrakech, Marruecos";"";"22513.45";"2127";"12819";"9.6";"CLP";"2026-02-16"
