"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Andorra";"Escaldes-Engordany";"Paseo con raquetas de nieve por Grandvalira";"https://www.civitatis.com/es/escaldes-engordany/paseo-raquetas-nieve-grandvalira/";"Raca Slu";"booking@rocroi.com";"+34 973622035";"RACA SLU | AV TARRAGONA 51, EDIFICI ALFI DESPATX 3, Andorra la Vieja, Andorra";"";"42111.49";"38";"419";"8.7";"CLP";"2026-02-16"
"Andorra";"Escaldes-Engordany";"Paseo en moto de nieve por Grandvalira";"https://www.civitatis.com/es/escaldes-engordany/paseo-moto-nieve-grandvalira/";"Raca Slu";"booking@rocroi.com";"+34 973622035";"RACA SLU | AV TARRAGONA 51, EDIFICI ALFI DESPATX 3, Andorra la Vieja, Andorra";"";"91781.46";"35";"591";"8.5";"CLP";"2026-02-16"
"Andorra";"Escaldes-Engordany";"Paseo en trineo de perros por Grandvalira";"https://www.civitatis.com/es/escaldes-engordany/paseo-trineo-perros-grandvalira/";"Raca Slu";"booking@rocroi.com";"+34 973622035";"RACA SLU | AV TARRAGONA 51, EDIFICI ALFI DESPATX 3, Andorra la Vieja, Andorra";"";"60467.78";"33";"752";"7.7";"CLP";"2026-02-16"
"Andorra";"Escaldes-Engordany";"Entrada a Caldea";"https://www.civitatis.com/es/escaldes-engordany/entrada-caldea/";"Tixalia Worldwide, S L";"reservas@tixalia.com";"+34 673 836 781";"Tixalia Worldwide, S.L. | C/ Botiguers, 3 - oficina 4E, Valencia, España";"";"50209.86";"88";"3338";"9.0";"CLP";"2026-02-16"
"Andorra";"Escaldes-Engordany";"Construcción de un iglú en Grandvalira";"https://www.civitatis.com/es/escaldes-engordany/construccion-iglu-grandvalira/";"Raca Slu";"booking@rocroi.com";"+34 973622035";"RACA SLU | AV TARRAGONA 51, EDIFICI ALFI DESPATX 3, Andorra la Vieja, Andorra";"";"38872.15";"5";"84";"9.2";"CLP";"2026-02-16"
"Andorra";"Escaldes-Engordany";"Tour por Encamp y el mirador de Roc del Quer";"https://www.civitatis.com/es/escaldes-engordany/tour-encamp-mirador-roc-quer/";"Andorra Turisme";"sporta@andorraturisme.ad";"+376 350236";"Andorra Turisme SAU | Carrer Prat de la Creu 59-65  Escala D  4º pis, Andorra la Vieja, Andorra";"";"25914.76";"41";"319";"8.4";"CLP";"2026-02-16"
"Andorra";"Escaldes-Engordany";"Tour por Canillo y el lago de Engolasters";"https://www.civitatis.com/es/escaldes-engordany/tour-canillo-lago-engolasters/";"Andorra Turisme";"sporta@andorraturisme.ad";"+376 350236";"Andorra Turisme SAU | Carrer Prat de la Creu 59-65  Escala D  4º pis, Andorra la Vieja, Andorra";"";"25914.76";"23";"199";"8.7";"CLP";"2026-02-16"
"Andorra";"Escaldes-Engordany";"Tour por el valle de Ordino";"https://www.civitatis.com/es/escaldes-engordany/tour-valle-ordino/";"Andorra Turisme";"sporta@andorraturisme.ad";"+376 350236";"Andorra Turisme SAU | Carrer Prat de la Creu 59-65  Escala D  4º pis, Andorra la Vieja, Andorra";"";"42111.49";"26";"168";"8.8";"CLP";"2026-02-16"
"Andorra";"Escaldes-Engordany";"Tour por La Massana";"https://www.civitatis.com/es/escaldes-engordany/tour-massana-santa-coloma/";"Andorra Turisme";"sporta@andorraturisme.ad";"+376 350236";"Andorra Turisme SAU | Carrer Prat de la Creu 59-65  Escala D  4º pis, Andorra la Vieja, Andorra";"";"25914.76";"23";"151";"8.8";"CLP";"2026-02-16"
"Andorra";"Escaldes-Engordany";"Tour por Pal y Coll de la Botella";"https://www.civitatis.com/es/escaldes-engordany/tour-pal-coll-botella/";"Andorra Turisme";"sporta@andorraturisme.ad";"+376 350236";"Andorra Turisme SAU | Carrer Prat de la Creu 59-65  Escala D  4º pis, Andorra la Vieja, Andorra";"";"25914.76";"23";"142";"8.4";"CLP";"2026-02-16"
"Andorra";"Escaldes-Engordany";"Tour por San Julián de Loria";"https://www.civitatis.com/es/escaldes-engordany/tour-san-julian-loria/";"Andorra Turisme";"sporta@andorraturisme.ad";"+376 350236";"Andorra Turisme SAU | Carrer Prat de la Creu 59-65  Escala D  4º pis, Andorra la Vieja, Andorra";"";"25914.76";"20";"127";"8.0";"CLP";"2026-02-16"
"Andorra";"Escaldes-Engordany";"Tour de la electricidad de Andorra";"https://www.civitatis.com/es/escaldes-engordany/tour-electricidad-andorra/";"Andorra Turisme";"sporta@andorraturisme.ad";"+376 350236";"Andorra Turisme SAU | Carrer Prat de la Creu 59-65  Escala D  4º pis, Andorra la Vieja, Andorra";"";"25914.76";"6";"48";"8.3";"CLP";"2026-02-16"
"Andorra";"Canillo";"Tour por Canillo y el lago de Engolasters";"https://www.civitatis.com/es/andorra-la-vieja/tour-canillo-lago-engolasters/";"Andorra Turisme";"sporta@andorraturisme.ad";"+376 350236";"Andorra Turisme SAU | Carrer Prat de la Creu 59-65  Escala D  4º pis, Andorra la Vieja, Andorra";"";"25914.76";"23";"199";"8.7";"CLP";"2026-02-16"
"Andorra";"Encamp";"Tour por Encamp y el mirador de Roc del Quer";"https://www.civitatis.com/es/andorra-la-vieja/tour-encamp-mirador-roc-quer/";"Andorra Turisme";"sporta@andorraturisme.ad";"+376 350236";"Andorra Turisme SAU | Carrer Prat de la Creu 59-65  Escala D  4º pis, Andorra la Vieja, Andorra";"";"25914.76";"41";"319";"8.4";"CLP";"2026-02-16"
"Andorra";"Ordino";"Tour por el valle de Ordino";"https://www.civitatis.com/es/ordino/tour-valle-ordino/";"Andorra Turisme";"sporta@andorraturisme.ad";"+376 350236";"Andorra Turisme SAU | Carrer Prat de la Creu 59-65  Escala D  4º pis, Andorra la Vieja, Andorra";"";"42111.49";"26";"168";"8.8";"CLP";"2026-02-16"
"Andorra";"La Massana";"Tour por el valle de Ordino";"https://www.civitatis.com/es/la-massana/tour-valle-ordino/";"Andorra Turisme";"sporta@andorraturisme.ad";"+376 350236";"Andorra Turisme SAU | Carrer Prat de la Creu 59-65  Escala D  4º pis, Andorra la Vieja, Andorra";"";"42111.49";"26";"168";"8.8";"CLP";"2026-02-16"
"Andorra";"La Massana";"Tour por La Massana";"https://www.civitatis.com/es/la-massana/tour-massana-santa-coloma/";"Andorra Turisme";"sporta@andorraturisme.ad";"+376 350236";"Andorra Turisme SAU | Carrer Prat de la Creu 59-65  Escala D  4º pis, Andorra la Vieja, Andorra";"";"25914.76";"23";"151";"8.8";"CLP";"2026-02-16"
"Andorra";"La Massana";"Tour por Pal y Coll de la Botella";"https://www.civitatis.com/es/la-massana/tour-pal-coll-botella/";"Andorra Turisme";"sporta@andorraturisme.ad";"+376 350236";"Andorra Turisme SAU | Carrer Prat de la Creu 59-65  Escala D  4º pis, Andorra la Vieja, Andorra";"";"25914.76";"23";"142";"8.4";"CLP";"2026-02-16"
"Andorra";"Andorra la Vieja";"Visita guiada por Andorra la Vieja";"https://www.civitatis.com/es/andorra-la-vieja/visita-guiada-andorra-vieja/";"Andorra Fw Tours";"AndorraFreeTour@gmail.com";"+376 384 708";"SMART EXCELLENCE INVESTMENTS SLU | Josep Viladomat 20, 3A, Escaldes-Engordany, Andorra";"";"16196.72";"513";"4716";"9.7";"CLP";"2026-02-16"
"Andorra";"Andorra la Vieja";"Tour por Encamp y el mirador de Roc del Quer";"https://www.civitatis.com/es/andorra-la-vieja/tour-encamp-mirador-roc-quer/";"Andorra Turisme";"sporta@andorraturisme.ad";"+376 350236";"Andorra Turisme SAU | Carrer Prat de la Creu 59-65  Escala D  4º pis, Andorra la Vieja, Andorra";"";"25914.76";"41";"319";"8.4";"CLP";"2026-02-16"
"Andorra";"Andorra la Vieja";"Tour por Canillo y el lago de Engolasters";"https://www.civitatis.com/es/andorra-la-vieja/tour-canillo-lago-engolasters/";"Andorra Turisme";"sporta@andorraturisme.ad";"+376 350236";"Andorra Turisme SAU | Carrer Prat de la Creu 59-65  Escala D  4º pis, Andorra la Vieja, Andorra";"";"25914.76";"23";"199";"8.7";"CLP";"2026-02-16"
