destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Colombo,Sri Lanka,Tour en tuk tuk por Colombo,"23.035,41 CL$",CLP,26 opiniones,178 viajeros,Capital Tour By Tuk Tuk,ceyloncapital8@gmail.com,0752008824,"Capital Tour by Tuk Tuk | Negombo Road, Welisara, Sri Lanka",https://www.civitatis.com/es/colombo/tour-tuk-tuk-colombo/,2026-02-02
Colombo,Sri Lanka,Tour privado por Colombo,"134.987,50 CL$",CLP,4 opiniones,207 viajeros,Flying Bird Tours,fbirdtours@gmail.com,+12502036827,"P.M.M.P. BANDARA | 54, Gurullagama, Halpe, Mirigama, Sri Lanka",https://www.civitatis.com/es/colombo/tour-privado-colombo/,2026-02-02
Colombo,Sri Lanka,Tour privado por Colombo,"134.987,50 CL$",CLP,4 opiniones,207 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/colombo/tour-privado-colombo/,2026-02-02
Colombo,Sri Lanka,Excursión privada a Sigiriya y Dambulla,"264.446,50 CL$",CLP,3 opiniones,72 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/colombo/excursion-sigiriya-dambulla/,2026-02-02
Colombo,Sri Lanka,Visita guiada por Colombo,"11.978,41 CL$",CLP,10 opiniones,86 viajeros,Real Lanka Holidays Pvt Ltd,premilreallankaholiday@gmail.com,+94777108200,"Real Lanka Holidays Pvt Ltd | No 210/D,Kimbulapitiya Road,Kadirana, Negombo, Sri Lanka",https://www.civitatis.com/es/colombo/visita-guiada-colombo/,2026-02-02
Colombo,Sri Lanka,Traslados en Colombo,"26.721,07 CL$",CLP,11 opiniones,104 viajeros,No especificado / Único,N/A,N/A,N/A,https://www.civitatis.com/es/colombo/traslados/,2026-02-02
Colombo,Sri Lanka,Excursión privada a Kandy,"180.597,61 CL$",CLP,3 opiniones,75 viajeros,Flying Bird Tours,fbirdtours@gmail.com,+12502036827,"P.M.M.P. BANDARA | 54, Gurullagama, Halpe, Mirigama, Sri Lanka",https://www.civitatis.com/es/colombo/excursion-kandy/,2026-02-02
Colombo,Sri Lanka,Excursión privada a Kandy,"180.597,61 CL$",CLP,3 opiniones,75 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/colombo/excursion-kandy/,2026-02-02
Colombo,Sri Lanka,Excursión privada a Udawalawe,"305.910,24 CL$",CLP,Sin valorar,20 viajeros,Flying Bird Tours,fbirdtours@gmail.com,+12502036827,"P.M.M.P. BANDARA | 54, Gurullagama, Halpe, Mirigama, Sri Lanka",https://www.civitatis.com/es/colombo/excursion-udawalawe/,2026-02-02
Colombo,Sri Lanka,Excursión privada a Galle,"180.597,61 CL$",CLP,1 opinión,30 viajeros,Flying Bird Tours,fbirdtours@gmail.com,+12502036827,"P.M.M.P. BANDARA | 54, Gurullagama, Halpe, Mirigama, Sri Lanka",https://www.civitatis.com/es/colombo/excursion-galle/,2026-02-02
Colombo,Sri Lanka,Excursión privada a Galle,"180.597,61 CL$",CLP,1 opinión,30 viajeros,Ceylon Travel Dream,ceylonreservationsteam@gmail.com,+94 76 92 13 119,"CEYLON TRAVEL DREAM | E/1 , Magala,Maliboda, Wellampitiya,Colombo, Sri Lanka",https://www.civitatis.com/es/colombo/excursion-galle/,2026-02-02
Colombo,Sri Lanka,Circuito de 5 días por Sri Lanka,"813.149,98 CL$",CLP,1 opinión,20 viajeros,Asia Escapes India Llp,asia@asiaescapes.co.in,9818444514,"Asia Escapes India LLP | plot no 36,Mohit Nagar sector 15 near NSIT, Delhi, India",https://www.civitatis.com/es/colombo/circuito-5-dias-sri-lanka/,2026-02-02
Colombo,Sri Lanka,Alquiler de coche con conductor en Colombo,"186.185,83 CL$",CLP,Sin valorar,5 viajeros,Deyo Tours,hathisarasaranga@gmail.com,+94768340730,"Deyo tours | 139/A, Kande Vihara Rd, SRI LANKA. 12070, Aluthgama, Sri Lanka",https://www.civitatis.com/es/colombo/alquiler-coche-conductor-colombo/,2026-02-02
Colombo,Sri Lanka,Excursión privada a Negombo,"134.987,50 CL$",CLP,1 opinión,4 viajeros,Flying Bird Tours,fbirdtours@gmail.com,+12502036827,"P.M.M.P. BANDARA | 54, Gurullagama, Halpe, Mirigama, Sri Lanka",https://www.civitatis.com/es/colombo/excursion-negombo/,2026-02-02
Colombo,Sri Lanka,Rafting en Kitulgala,"170.462,03 CL$",CLP,Sin valorar,3 viajeros,Bh Lanka Tours,bhsrilankatours@gmail.com,+ 94 760953130,"B.H. Tours | No75, Samanpaya,Kudagalgamuwa, Kurunegala, Sri Lanka",https://www.civitatis.com/es/colombo/rafting-kitulgala/,2026-02-02
Colombo,Sri Lanka,Tour de 8 días por lo mejor de Sri Lanka,"1.209.359,03 CL$",CLP,Sin valorar,129 viajeros,Asia Escapes India Llp,asia@asiaescapes.co.in,9818444514,"Asia Escapes India LLP | plot no 36,Mohit Nagar sector 15 near NSIT, Delhi, India",https://www.civitatis.com/es/colombo/tour-8-dias-sri-lanka/,2026-02-02
Colombo,Sri Lanka,Tour gastronómico por Colombo,"29.946,03 CL$",CLP,2 opiniones,7 viajeros,Capital Tour By Tuk Tuk,ceyloncapital8@gmail.com,0752008824,"Capital Tour by Tuk Tuk | Negombo Road, Welisara, Sri Lanka",https://www.civitatis.com/es/colombo/tour-gastronomico-colombo/,2026-02-02
Colombo,Sri Lanka,Sri Lanka y Maldivas en 11 días,"2.330.262,09 CL$",CLP,Sin valorar,,Asia Escapes India Llp,asia@asiaescapes.co.in,9818444514,"Asia Escapes India LLP | plot no 36,Mohit Nagar sector 15 near NSIT, Delhi, India",https://www.civitatis.com/es/colombo/sri-lanka-maldivas-11-dias/,2026-02-02
Colombo,Sri Lanka,Tour panorámico por Colombo,"32.249,57 CL$",CLP,Sin valorar,,Capital Tour By Tuk Tuk,ceyloncapital8@gmail.com,0752008824,"Capital Tour by Tuk Tuk | Negombo Road, Welisara, Sri Lanka",https://www.civitatis.com/es/colombo/tour-panoramico-colombo/,2026-02-02
Colombo,Sri Lanka,Seguro de viaje Civitatis,"20.167,42 CL$",CLP,2.904 opiniones,95.919 viajeros,Iati,paz@iatiseguros.com,+34 932014943,"Iati Calzado Correduria de Seguros | C/ Guitard, 43, 4º 2ª, Barcelona, España",https://www.civitatis.com/es/seguro-viaje/,2026-02-02
Colombo,Sri Lanka,Tour privado de 2 días por Nuwara Eliya,"738.054,54 CL$",CLP,Sin valorar,,Flying Bird Tours,fbirdtours@gmail.com,+12502036827,"P.M.M.P. BANDARA | 54, Gurullagama, Halpe, Mirigama, Sri Lanka",https://www.civitatis.com/es/colombo/tour-2-dias-nuwara-eliya/,2026-02-02
Sigiriya,Sri Lanka,Safari privado por el Parque Ecológico de Hurulu,"55.284,98 CL$",CLP,Sin valorar,4 viajeros,Lakpura Solutions,sales2@lakpura.com,+94773524876,"Lakpura Solutions (Pvt) Ltd | No 78A, C.P De Silva Mawatha, Kaldemulla, Moratuwa, Sri Lanka",https://www.civitatis.com/es/sigiriya/safari-parque-ecologico-hurulu/,2026-02-02
