"pais";"destino";"actividad";"url_actividad";"operador";"email";"telefono";"direccion";"descripcion";"precio_real";"opiniones";"viajeros";"rating";"moneda";"fecha_scan"
"Rumanía";"Bucarest";"Excursión a los castillos de Bran y Peles";"https://www.civitatis.com/es/bucarest/excursion-castillos-bran-peles/";"Gray Line Romania";"booking@grayline.ro";"+40 754 752 753";"SC Delir Inc SRL | Calea Victoriei 68-70, Sector 1, , Bucuresti, Rumanía";"";"36712.58";"2737";"47081";"7.3";"CLP";"2026-02-16"
"Rumanía";"Bucarest";"Excursión a los castillos de Bran y Peles";"https://www.civitatis.com/es/bucarest/excursion-castillos-bran-peles/";"Karpaten Turism Srl";"daytrip@karpaten.ro";"0040 770 570 211";"Karpaten Turism SRL | Str. Teleajen 77A, Bucarest, Rumanía";"";"36712.58";"2737";"47081";"7.3";"CLP";"2026-02-16"
"Rumanía";"Bucarest";"Free tour por Bucarest";"https://www.civitatis.com/es/bucarest/free-tour-bucarest/";"Bucharest By Foot";"hello.unbelievablebucharest@gmail.com";"+40 790840454";"Codru Group CGA S.R.L | Sat Varlaam, Comuna Gura Teghii, T156, Judet Buzau, Bucarest, Rumanía";"";"0.0";"9535";"132430";"9.1";"CLP";"2026-02-16"
"Rumanía";"Bucarest";"Visita guiada por el Parlamento de Bucarest";"https://www.civitatis.com/es/bucarest/visita-guiada-parlamento-bucarest/";"Transylvanian Wonders";"contact@transylvanianwonders.com";"+40 735 677 892";"SC Transylvanian Wonders SRL | Strada Valea Portii nr 2 , Bran, Rumanía";"";"39951.93";"657";"7208";"7.9";"CLP";"2026-02-16"
"Rumanía";"Bucarest";"Excursión al balneario Therme";"https://www.civitatis.com/es/bucarest/excursion-balneario-therme/";"Gray Line Romania";"booking@grayline.ro";"+40 754 752 753";"SC Delir Inc SRL | Calea Victoriei 68-70, Sector 1, , Bucuresti, Rumanía";"";"58308.22";"126";"2329";"9.1";"CLP";"2026-02-16"
"Rumanía";"Bucarest";"Free tour nocturno por Bucarest";"https://www.civitatis.com/es/bucarest/free-tour-nocturno-bucarest/";"Zen Maxim Tour";"office@zentour.ro";"0040786615737";"ZEN MAXIM TOUR S.R.L. | DRUMUL GURA PUTNEI NR. 165, ET. 1, AP. 5, SECTOR 3, BUCUREȘTI, Bucarest, Rumanía";"";"0.0";"505";"12157";"9.3";"CLP";"2026-02-16"
"Rumanía";"Bucarest";"Free tour por el Bucarest comunista";"https://www.civitatis.com/es/bucarest/free-tour-bucarest-comunista/";"Bucharest By Foot";"hello.unbelievablebucharest@gmail.com";"+40 790840454";"Codru Group CGA S.R.L | Sat Varlaam, Comuna Gura Teghii, T156, Judet Buzau, Bucarest, Rumanía";"";"0.0";"1384";"17857";"9.5";"CLP";"2026-02-16"
"Rumanía";"Bucarest";"Traslados en Bucarest";"https://www.civitatis.com/es/bucarest/traslados/";"No especificado / Único";"N/A";"N/A";"N/A";"";"43191.27";"581";"7252";"9.0";"CLP";"2026-02-16"
"Rumanía";"Bucarest";"Tour por el barrio judío de Bucarest";"https://www.civitatis.com/es/bucarest/tour-barrio-judio-bucarest/";"Bucharest By Foot";"hello.unbelievablebucharest@gmail.com";"+40 790840454";"Codru Group CGA S.R.L | Sat Varlaam, Comuna Gura Teghii, T156, Judet Buzau, Bucarest, Rumanía";"";"32393.45";"15";"149";"9.6";"CLP";"2026-02-16"
"Rumanía";"Bucarest";"Excursión a las Minas de Sal de Slanic, Prahova";"https://www.civitatis.com/es/bucarest/excursion-minas-sal-slanic/";"Gray Line Romania";"booking@grayline.ro";"+40 754 752 753";"SC Delir Inc SRL | Calea Victoriei 68-70, Sector 1, , Bucuresti, Rumanía";"";"44972.91";"132";"2159";"8.3";"CLP";"2026-02-16"
"Rumanía";"Bucarest";"Excursión a las Minas de Sal de Slanic, Prahova";"https://www.civitatis.com/es/bucarest/excursion-minas-sal-slanic/";"Karpaten Turism Srl";"daytrip@karpaten.ro";"0040 770 570 211";"Karpaten Turism SRL | Str. Teleajen 77A, Bucarest, Rumanía";"";"44972.91";"132";"2159";"8.3";"CLP";"2026-02-16"
