destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Queenstown,Nueva Zelanda,Excursión al fiordo Milford Sound,"193.465,47 CL$",CLP,14 opiniones,220 viajeros,Cheeky Kiwi Travel,bookings@cheekykiwitravel.com,+64 9 390 7380,"CHEEKY KIWI TRAVEL LIMITED | 13 Worsley St, Te Anau, Nueva Zelanda",https://www.civitatis.com/es/queenstown/excursion-fiordo-milford-sound/,2026-02-02
Queenstown,Nueva Zelanda,Excursión a Arrowtown y Gibbston + Barco por el Lago Wakatipu,"158.953,54 CL$",CLP,Sin valorar,29 viajeros,Vio Travel,michael@vio.travel,+66922472382,"Experience Asia Travel Ltd | 610 Nathan Road, Mongkok, Kowloon, Hong Kong, Kowloon, Hong Kong",https://www.civitatis.com/es/queenstown/excursion-arrowtown-gibbston-barco-wakatipu/,2026-02-02
Queenstown,Nueva Zelanda,Tour por los escenarios de El Señor de los Anillos,"165.748,36 CL$",CLP,9 opiniones,61 viajeros,Nomad Safaris,accounts@nomadsafaris.co.n,+64 034426699,"NOMAD ADVENTURES LIMITED | PO Boox 341, Queenstown, Nueva Zelanda",https://www.civitatis.com/es/queenstown/tour-senor-anillos/,2026-02-02
Queenstown,Nueva Zelanda,Excursión al Monte Cook,"146.900,72 CL$",CLP,9 opiniones,72 viajeros,Cheeky Kiwi Travel,bookings@cheekykiwitravel.com,+64 9 390 7380,"CHEEKY KIWI TRAVEL LIMITED | 13 Worsley St, Te Anau, Nueva Zelanda",https://www.civitatis.com/es/queenstown/excursion-monte-cook/,2026-02-02
Queenstown,Nueva Zelanda,Tarjeta eSIM con Internet para Nueva Zelanda,"22.574,70 CL$",CLP,2 opiniones,37 viajeros,Xplori,go@xplori.world,+84852186217,"WM&B Limited | 93-97 Des Voeux Road West, Hong Kong Island, China",https://www.civitatis.com/es/queenstown/tarjeta-esim-nueva-zelanda/,2026-02-02
Queenstown,Nueva Zelanda,Traslados en Queenstown,"44.347,38 CL$",CLP,Novedad,24 viajeros,No especificado / Único,N/A,N/A,N/A,https://www.civitatis.com/es/queenstown/traslados/,2026-02-02
Queenstown,Nueva Zelanda,Excursión a Glenorchy y Paradise,"131.191,26 CL$",CLP,Sin valorar,6 viajeros,Vio Travel,michael@vio.travel,+66922472382,"Experience Asia Travel Ltd | 610 Nathan Road, Mongkok, Kowloon, Hong Kong, Kowloon, Hong Kong",https://www.civitatis.com/es/queenstown/excursion-glenorchy-paradise/,2026-02-02
Queenstown,Nueva Zelanda,Tour de la cerveza y el vino por Queenstown y Gibbston,"177.004,09 CL$",CLP,Sin valorar,6 viajeros,Vio Travel,michael@vio.travel,+66922472382,"Experience Asia Travel Ltd | 610 Nathan Road, Mongkok, Kowloon, Hong Kong, Kowloon, Hong Kong",https://www.civitatis.com/es/queenstown/tour-cerveza-vino-queenstown-gibbston/,2026-02-02
Queenstown,Nueva Zelanda,Tour en quad por Queenstown,"185.704,68 CL$",CLP,Sin valorar,8 viajeros,Nomad Safaris,accounts@nomadsafaris.co.n,+64 034426699,"NOMAD ADVENTURES LIMITED | PO Boox 341, Queenstown, Nueva Zelanda",https://www.civitatis.com/es/queenstown/tour-quad-queenstown/,2026-02-02
Queenstown,Nueva Zelanda,Tour en 4x4 por Skippers Canyon,"165.748,36 CL$",CLP,Sin valorar,5 viajeros,Nomad Safaris,accounts@nomadsafaris.co.n,+64 034426699,"NOMAD ADVENTURES LIMITED | PO Boox 341, Queenstown, Nueva Zelanda",https://www.civitatis.com/es/queenstown/tour-4x4-skippers-canyon-macetown/,2026-02-02
