destino,pais,actividad,precio,moneda,rating,viajeros,operador,email,telefono,direccion,url_actividad,fecha_scan
Seúl,Corea del Sur,Visita guiada por Seúl,"41.119,57 CL$",CLP,88 opiniones,989 viajeros,María Martínez Tour,ayalam723@gmail.com,4921241291,"Maria Concepcion Martinez Ayala | Maguey no. 6, Colonia Campesina. Guadalupe, Zacatecas, Mexico, Zacatecas, México",https://www.civitatis.com/es/seul/visita-guiada-seul/,2026-02-02
Seúl,Corea del Sur,Free tour por Seúl,¡Gratis!,CLP,312 opiniones,4.282 viajeros,Auxi,auxiramossoto@gmail.com,+358 402577398,"Maria Auxiliadora Ramos Soto | CALLE REAL 42A, Frigiliana, Corea del Sur",https://www.civitatis.com/es/seul/free-tour-seul/,2026-02-02
Seúl,Corea del Sur,"Excursión a la Petite France, Isla Nami y Jardín de la Calma de la Mañana","48.537,83 CL$",CLP,37 opiniones,869 viajeros,Ktourstory,korea@tourstory.co,0082 10 9650 8388,"TOURSTORY PTE. LTD. | Rset Road #06-01T, 111 Somerset, Singapur, Singapur",https://www.civitatis.com/es/seul/isla-nami-jardin-calma-manana/,2026-02-02
Seúl,Corea del Sur,Excursión a la fortaleza de Hwaseong y una aldea tradicional coreana,"67.642,18 CL$",CLP,Sin valorar,23 viajeros,Ktourstory,korea@tourstory.co,0082 10 9650 8388,"TOURSTORY PTE. LTD. | Rset Road #06-01T, 111 Somerset, Singapur, Singapur",https://www.civitatis.com/es/seul/excursion-fortaleza-hwaseong/,2026-02-02
Seúl,Corea del Sur,Traslados en Seúl,"67.263,39 CL$",CLP,311 opiniones,7.459 viajeros,No especificado / Único,N/A,N/A,N/A,https://www.civitatis.com/es/seul/traslados/,2026-02-02
Seúl,Corea del Sur,Entrada para el observatorio Seoul Sky,"16.800,21 CL$",CLP,59 opiniones,1.261 viajeros,Be My Guest,natalie.ng@bemyguest.com.sg,+65 3158 0490,"Bemyguest Pte Ltd | 80 Changi Road, #03-01, The Centropod , Singapur, Singapur",https://www.civitatis.com/es/seul/entrada-observatorio-seoul-sky/,2026-02-02
Seúl,Corea del Sur,Excursión a la zona desmilitarizada de Corea,"59.415,42 CL$",CLP,898 opiniones,13.679 viajeros,Vip Travel,vip@vviptravel.com,+82-10-9809-3501,"VIP Travel Co. Ltd. | 101-#1501, Lotte Castle President, 109, Mapo-Daero, Seoul, South Korea, Seúl, Corea del Sur",https://www.civitatis.com/es/seul/excursion-zona-desmilitarizada-corea/,2026-02-02
Seúl,Corea del Sur,Pub Crawl ¡Tour de fiesta por Seúl!,"18.281,67 CL$",CLP,20 opiniones,308 viajeros,Absolute,absolutepubcrawl@gmail.com,+821039127022,"Absolute | 11-1 Dorim-ro 108ga-gil, Yeongdeungpo-gu, Seúl, Corea del Sur",https://www.civitatis.com/es/seul/pub-crawl-seul/,2026-02-02
Seúl,Corea del Sur,Tour en hanbok por el Seúl tradicional,"50.274,59 CL$",CLP,3 opiniones,57 viajeros,"Tripper Co.,ltd",ceo@tripperkorea.com,+821099272977,"Tripper Co., Ltd. | 100, Cheonggyecheon-ro, Jung-gu, Seoul, Republic of Korea, Seúl, Corea del Sur",https://www.civitatis.com/es/seul/tour-hanbok-seul/,2026-02-02
Seúl,Corea del Sur,Autobús turístico de Seúl,"17.011,52 CL$",CLP,61 opiniones,1.390 viajeros,Seoul City Bus Tours,sct2010@hanmail.net,01058071217,"Seoul City Tour Bus Co., Ltd. | 135-7, Sejong-daero, Jung-gu, Seoul Korea, Seúl, Corea del Sur",https://www.civitatis.com/es/seul/autobus-turistico-seul/,2026-02-02
